row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(trình bày lại)
Lãi phải thu từ cho vay và tiền gửi,Lãi phải thu từ cho vay và tiền gửi,Lãi phải thu từ cho vay và tiền gửi,1.415.355.192.674,624.956.758.554,1415355192674.0,624956758554.0
Phải thu lại khoản đặt cọc cho hợp đồng hợp tác đầu tư (i),Phải thu lại khoản đặt cọc cho hợp đồng hợp tác đầu tư (i),Phải thu lại khoản đặt cọc cho hợp đồng hợp tác đầu tư (i),1.050.000.000.000,-,1050000000000.0,
Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,939.964.899.900,385.546.875.000,939964899900.0,385546875000.0
Phải thu khác,Phải thu khác,Phải thu khác,270.646.983.853,58.806.514.832,270646983853.0,58806514832.0
Phải thu từ chuyển nhượng các khoản đầu tư,Phải thu từ chuyển nhượng các khoản đầu tư,Phải thu từ chuyển nhượng các khoản đầu tư,93.448.998.244,2.062.403.366.049,93448998244.0,2062403366049.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.769.416.074.671,3.131.713.514.435,3769416074671.0,3131713514435.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác,Trong đó: > Phải thu khác,Phải thu khác,1.838.232.575.684,176.355.958.285,1838232575684.0,176355958285.0
Phải thu khác từ các bên liên quan(Thuyết minh số 31),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 31),Phải thu khác từ các bên liên quan(Thuyết minh số 31),1.931.183.498.987,2.955.357.556.150,1931183498987.0,2955357556150.0
Dự phòng phải thu ngắn hạn khác khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(31.845.383.012),(18.765.801.355),-31845383012.0,-18765801355.0
