row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,
Công ty BFF,Công ty BFF,Công ty BFF,Công ty con,
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,
Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty con,
Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty con,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con,
Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty Xây dựng Vincom,Công ty con,
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,
