row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Nhà cửa,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,87.706.085.875,87706085875.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,
Số dư cuối năm,Tăng trong năm > Số dư cuối năm,Số dư cuối năm,87.706.085.875,87706085875.0
Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,
Số dư đầu năm,Giá trị hao mòn: > Số dư đầu năm,Số dư đầu năm,3.046.099.349,3046099349.0
Tăng trong năm,Giá trị hao mòn: > Tăng trong năm,Tăng trong năm,1.924.090.603,1924090603.0
Số dư cuối năm,Giá trị hao mòn: > Số dư cuối năm,Số dư cuối năm,4.970.189.952,4970189952.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,84.659.986.526,84659986526.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,82.735.895.923,82735895923.0
