row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,
Công ty Quản lý BĐS Vinhomes,Công ty Quản lý BĐS Vinhomes,Công ty Quản lý BĐS Vinhomes,Công ty con,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Công ty con,
Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty con,
Công ty Hồng Ngân,Công ty Hồng Ngân,Công ty Hồng Ngân,Công ty con,
Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty con,
Công ty Vinhomes 2,Công ty Vinhomes 2,Công ty Vinhomes 2,Công ty con,
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,
Công ty Bảo vệ Vincom,Công ty Bảo vệ Vincom,Công ty Bảo vệ Vincom,Công ty con,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con,
