row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính:VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính:VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản,Ngắn hạn > Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,4.758.036.054,43.776.143.151,4758036054.0,43776143151.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Ngắn hạn > Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,16.117.468.318,35.325.134.031,16117468318.0,35325134031.0
Phải thu phí dịch vụ quản lý công ty con,Ngắn hạn > Phải thu phí dịch vụ quản lý công ty con,Phải thu phí dịch vụ quản lý công ty con,267.815.623.415,436.148.482.917,267815623415.0,436148482917.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,288.691.127.787,515.249.760.099,288691127787.0,515249760099.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,14.111.248.557,23.515.872.944,14111248557.0,23515872944.0
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 31),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 31),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 31),274.579.879.230,491.733.887.155,274579879230.0,491733887155.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(4.944.255.910),(4.317.450.396),-4944255910.0,-4317450396.0
Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,,
Phải thu phí quản lý từ Công ty Hoàng Gia,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu phí quản lý từ Công ty Hoàng Gia,Phải thu phí quản lý từ Công ty Hoàng Gia,199.615.260.788,55.570.894.844,199615260788.0,55570894844.0
Phải thu phí quản lý từ Công ty Vincom Retail,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu phí quản lý từ Công ty Vincom Retail,Phải thu phí quản lý từ Công ty Vincom Retail,32.158.153.923,-,32158153923.0,
Phải thu phí quản lý từ Công ty Sài Đồng,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu phí quản lý từ Công ty Sài Đồng,Phải thu phí quản lý từ Công ty Sài Đồng,12.053.250,120.213.363.203,12053250.0,120213363203.0
Phải thu phí quản lý từ Công ty Nam Hà Nội,Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu phí quản lý từ Công ty Nam Hà Nội,Phải thu phí quản lý từ Công ty Nam Hà Nội,-,145.596.886.833,,145596886833.0
