row_label_raw,row_label_full,Số cuối năm,Don vi tính: VND > Số đầu năm,numeric__Don vi tính: VND > Số đầu năm
36.214.338.889,36.214.338.889,36.214.338.889,539.077.777,539077777.0
15.311.127.516,15.311.127.516,15.311.127.516,1.531.486.109,1531486109.0
-,-,-,47.872.367.027,47872367027.0
44.889.000,44.889.000,44.889.000,2.376.777.595,2376777595.0
91.835.609.052,91.835.609.052,91.835.609.052,19.192.763.890,19192763890.0
672.169.248,672.169.248,672.169.248,965.553.084,965553084.0
5.534.472.221,5.534.472.221,5.534.472.221,15.147.914.701,15147914701.0
12.786.938,12.786.938,12.786.938,521.244.507,521244507.0
-,-,-,73.616.000.000,73616000000.0
21.296.032.415,21.296.032.415,21.296.032.415,20.481.155.578,20481155578.0
1.443.461.791,1.443.461.791,1.443.461.791,9.374.069.445,9374069445.0
100.527.776,100.527.776,100.527.776,1.288.194.444,1288194444.0
414.307.351,414.307.351,414.307.351,520.673.935,520673935.0
1.096.065.600,1.096.065.600,1.096.065.600,-,
42.522.699.432,42.522.699.432,42.522.699.432,-,
1.946.388.887,1.946.388.887,1.946.388.887,-,
30.479.694.447,1.946.388.887 > 30.479.694.447,30.479.694.447,27.155.555.533,27155555533.0
1.765.441.837,1.765.441.837,1.765.441.837,-,
1.721.550.051,1.765.441.837 > 1.721.550.051,1.721.550.051,90.027.777,90027777.0
3.505.559.429,3.505.559.429,3.505.559.429,,
168.553.583,168.553.583,168.553.583,-,
2.197.454.748,168.553.583 > 2.197.454.748,2.197.454.748,1.753.903.198,1753903198.0
1.931.183.498.987,168.553.583 > 1.931.183.498.987,1.931.183.498.987,2.955.357.556.150,2955357556150.0
