row_label_raw,row_label_full,Mã số 05. Lãi từ hoạt động đầu tư,Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Đơn vị tính: VND > Năm trước > Mã số 05. Lãi từ hoạt động đầu tư
Lãi từ thanh lý các khoản đầu tư,Lãi từ thanh lý các khoản đầu tư,Lãi từ thanh lý các khoản đầu tư,(122.397.763.656),(7.856.643.291),-122397763656.0,-7856643291.0
"Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức",(5.980.942.399.335),(4.775.368.559.989),-5980942399335.0,-4775368559989.0
Tổng cộng,Tổng cộng,Tổng cộng,(6.103.340.162.991),(4.783.225.203.280),-6103340162991.0,-4783225203280.0
"Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,
"Tiền chỉ để mua sắm, xây dựng tài sản cố định","Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác > Tiền chỉ để mua sắm, xây dựng tài sản cố định","Tiền chỉ để mua sắm, xây dựng tài sản cố định",(254.798.171.882),(44.024.849.747),-254798171882.0,-44024849747.0
Tiền chỉ đầu tư vào các dự án bất động sản tiêm năng,"Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác > Tiền chỉ đầu tư vào các dự án bất động sản tiêm năng",Tiền chỉ đầu tư vào các dự án bất động sản tiêm năng,(3.131.462.363.057),(13.416.683.021),-3131462363057.0,-13416683021.0
Tổng cộng,"Mã số 21. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác > Tổng cộng",Tổng cộng,(3.386.260.534.939),(57.441.532.768),-3386260534939.0,-57441532768.0
Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác,,
Tiền chỉ đầu tư vào công ty con,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chỉ đầu tư vào công ty con,Tiền chỉ đầu tư vào công ty con,(12.857.011.549.842),(4.645.271.731.244),-12857011549842.0,-4645271731244.0
Tiền chỉ mua cổ phần/góp vốn vào các công ty khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chỉ mua cổ phần/góp vốn vào các công ty khác,Tiền chỉ mua cổ phần/góp vốn vào các công ty khác,(2.538.687.013.589),(702.685.000.000),-2538687013589.0,-702685000000.0
Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,(3.423.954.604.750),(5.530.000.000.000),-3423954604750.0,-5530000000000.0
Tổng cộng,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(18.819.653.168.181),(10.877.956.731.244),-18819653168181.0,-10877956731244.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,8.599.646.043.230,2.674.705.882.222,8599646043230.0,2674705882222.0
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,860.514.542.712,1.132.500.000.000,860514542712.0,1132500000000.0
Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,Tiền nhận đặt cọc từ đối tác để nhượng bán các khoản đầu tư vào đơn vị khác,1.733.000.000.000,275.000.000.000,1733000000000.0,275000000000.0
Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,3.922.464.194.153,232.200.000.000,3922464194153.0,232200000000.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,15.115.624.780.095,4.314.405.882.222,15115624780095.0,4314405882222.0
