row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ
Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty con,Lãi vay phải trả,,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,Lãi vay phải trả,,
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Công ty con,Lãi vay phải trả,,
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,Lãi vay phải trả,,
Công ty Hồng Ngân,Công ty Hồng Ngân,Công ty Hồng Ngân,Công ty con,Lãi vay phải trả,,
Công Ty Vinhomes 1,Công Ty Vinhomes 1,Công Ty Vinhomes 1,Công ty con,Lãi vay phải trả,,
Công ty Thời Đại,Công ty Thời Đại,Công ty Thời Đại,Công ty con,Lãi vay phải trả,,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Lãi vay phải trả,,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Lãi vay phải trả,,
Công ty Ngôi sao Phương Nam,Công ty Ngôi sao Phương Nam,Công ty Ngôi sao Phương Nam,Công ty con,Lãi vay phải trả,,
Công ty Triển Lăm Việt Nam,Công ty Triển Lăm Việt Nam,Công ty Triển Lăm Việt Nam,Công ty con,Lãi vay phải trả,,
Công ty Vinmart+,Công ty Vinmart+,Công ty Vinmart+,Công ty con,Lãi vay phải trả,,
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,Lãi vay phải trả,,
Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,Công ty liên kết,Lãi vay phải trả,,
Công ty VinDS,Công ty VinDS,Công ty VinDS,Công ty con,Lãi vay phải trả,,
