row_label_raw,row_label_full,col_0,Số lượng,Số cuối năm > Tỷ lệ biểu quyết (%),Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Giá trị (VND),Số lượng_1,Tỷ lệ biểu quyết (%),Tỷ lệ sở hữu (%),Số đều năm > Giá trị (VND),Số đều năm,numeric__Số lượng,numeric__Số cuối năm > Tỷ lệ biểu quyết (%),numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Giá trị (VND),numeric__Số lượng_1,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ sở hữu (%),numeric__Số đều năm > Giá trị (VND),numeric__Số đều năm
Công ty Cổ phầnTruyền thống Thanh niên,Công ty Cổ phầnTruyền thống Thanh niên,Công ty Cổ phầnTruyền thống Thanh niên,400.000,"3,87","3,87",12.400.000.000,400.000,"3,87","3,87",12.400.000.000,,400000.0,3.87,3.87,12400000000.0,400000.0,3.87,3.87,12400000000.0,
Tổng Công ty Đệtmay Việt Nam,Tổng Công ty Đệtmay Việt Nam,Tổng Công ty Đệtmay Việt Nam,50.000.000,"10,00","10,00",552.395.000.000,50.000.000,"10,00","10,00",551.685.000.000,,50000000.0,10.0,10.0,552395000000.0,50000000.0,10.0,10.0,551685000000.0,
Công ty Cổ phầnĐầu tư Dịch vụThương mại ThànhPhố Hồ Chí Minh,Công ty Cổ phầnĐầu tư Dịch vụThương mại ThànhPhố Hồ Chí Minh,Công ty Cổ phầnĐầu tư Dịch vụThương mại ThànhPhố Hồ Chí Minh,56.985.344,"19,00","19,00",1.749.495.515.345,-,-,-,-,,56985344.0,19.0,19.0,1749495515345.0,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,107.385.344,,,2.314.290.515.345,50.400.000,,,564.085.000.000,,107385344.0,,,2314290515345.0,50400000.0,,,564085000000.0,
