row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Cho vay,Thu hồi gốc cho vay,Vay,Thanh toán gốc vay,numeric__Mối quan hệ,numeric__Cho vay,numeric__Thu hồi gốc cho vay,numeric__Vay,numeric__Thanh toán gốc vay
Công ty Vinmart+,Công ty Vinmart+,Công ty Vinmart+,Công ty con,-,-,(1.685.000.000.000),-,,,,-1685000000000.0,
Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty con,490.872.367.027,(1.709.200.640.675),(3.341.656.789.804),795.315.971.178,,490872367027.0,-1709200640675.0,-3341656789804.0,795315971178.0
Công ty Vinpearl Phú Quốc,Công ty Vinpearl Phú Quốc,Công ty Vinpearl Phú Quốc,Công ty con,872.942.860.510,(1.643.851.613.883),(2.745.979.064.343),-,,872942860510.0,-1643851613883.0,-2745979064343.0,
Công ty FPI,Công ty FPI,Công ty FPI,Công ty con,-,-,(274.000.000.000),-,,,,-274000000000.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,4.922.000.000.000,(1.600.000.000.000),-,894.987.500.000,,4922000000000.0,-1600000000000.0,,894987500000.0
Công ty BĐS Thăng Long,Công ty BĐS Thăng Long,Công ty BĐS Thăng Long,Công ty liên kết,39.000.000.000,-,-,-,,39000000000.0,,,
Công ty Ánh Sao,Công ty Ánh Sao,Công ty Ánh Sao,Công ty con,75.100.000.000,(75.100.000.000),-,-,,75100000000.0,-75100000000.0,,
Công ty Thời đại,Công ty Thời đại,Công ty Thời đại,Công ty con,574.837.109.126,(73.000.000.000),-,-,,574837109126.0,-73000000000.0,,
Công ty Vinpearlland,Công ty Vinpearlland,Công ty Vinpearlland,Công ty con,769.513.378.749,(272.013.378.749),-,-,,769513378749.0,-272013378749.0,,
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,2.718.200.000.000,(4.734.154.548.946),-,-,,2718200000000.0,-4734154548946.0,,
Công ty BFF,Công ty BFF,Công ty BFF,Công ty con,170.000.000.000,-,-,-,,170000000000.0,,,
Công ty Vinlinks,Công ty Vinlinks,Công ty Vinlinks,Công ty con,78.059.136.597,(32.700.000.000),-,-,,78059136597.0,-32700000000.0,,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,776.888.407.885,-,-,-,,776888407885.0,,,
Công ty Vinpearl Đà Nẵng,Công ty Vinpearl Đà Nẵng,Công ty Vinpearl Đà Nẵng,Công ty con,261.000.000.000,(110.000.000.000),-,-,,261000000000.0,-110000000000.0,,
Công ty Hòn Một,Công ty Hòn Một,Công ty Hòn Một,Công ty con,39.000.000.000,-,-,-,,39000000000.0,,,
Công ty Vinpearl Hạ Long,Công ty Vinpearl Hạ Long,Công ty Vinpearl Hạ Long,Công ty con,847.200.000.000,(544.000.000.000),-,-,,847200000000.0,-544000000000.0,,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty con,1.318.000.000.000,(600.000.000.000),-,-,,1318000000000.0,-600000000000.0,,
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,265.200.000.000,(138.700.000.000),-,-,,265200000000.0,-138700000000.0,,
Công ty M.Y.M,Công ty M.Y.M,Công ty M.Y.M,Công ty liên kết,71.359.684.788,(1.081.859.684.788),-,-,,71359684788.0,-1081859684788.0,,
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty liên kết,500.000.000.000,(500.000.000.000),-,-,,500000000000.0,-500000000000.0,,
