row_label_raw,row_label_full,col_0,Đơn vị tính:VND > Năm nay,Đơn vị tính:VND > Năm trước,numeric__Đơn vị tính:VND > Năm nay,numeric__Đơn vị tính:VND > Năm trước
Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,,
Số đầu năm,Vốn cổ phần đã phát hành > Số đầu năm,Số đầu năm,14.545.550.980.000,9.296.036.790.000,14545550980000.0,9296036790000.0
Tăng vốn trong năm,Vốn cổ phần đã phát hành > Tăng vốn trong năm,Tăng vốn trong năm,4.136.329.890.000,5.249.514.190.000,4136329890000.0,5249514190000.0
Giảm vốn trong năm,Giảm vốn trong năm,Giảm vốn trong năm,-,-,,
Số cuối năm,Giảm vốn trong năm > Số cuối năm,Số cuối năm,18.681.880.870.000,14.545.550.980.000,18681880870000.0,14545550980000.0
