row_label_raw,row_label_full,Nội dung giao dịch,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Chi phí từ thiện phát sinh,Chi phí từ thiện phát sinh,Chi phí từ thiện phát sinh,(90.000.000.000),(209.539.649.765),-90000000000.0,-209539649765.0
Chuyển tiền cho Quỹ Thiện Tâm,Chuyển tiền cho Quỹ Thiện Tâm,Chuyển tiền cho Quỹ Thiện Tâm,-,280.130.000.000,,280130000000.0
Nhận tiền hoàn lại từ Quỹ Thiện Tâm,Nhận tiền hoàn lại từ Quỹ Thiện Tâm,Nhận tiền hoàn lại từ Quỹ Thiện Tâm,(75.988.420.340),-,-75988420340.0,
