row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(trình bày lại)
Dự án Vinhomes Riverside 2,Dự án Vinhomes Riverside 2,Dự án Vinhomes Riverside 2,1.135.894.144.276,40.801.352.790,1135894144276.0,40801352790.0
Dự án Vincom Xuân Khánh Cần Thơ,Dự án Vincom Xuân Khánh Cần Thơ,Dự án Vincom Xuân Khánh Cần Thơ,631.867.706.667,243.159.240.000,631867706667.0,243159240000.0
Dự án Vũ Yên,Dự án Vũ Yên,Dự án Vũ Yên,411.639.602.203,-,411639602203.0,
Dự án Vinhomes Riverside Hải Phòng,Dự án Vinhomes Riverside Hải Phòng,Dự án Vinhomes Riverside Hải Phòng,309.249.657.518,-,309249657518.0,
Dự án Vincom Hùng Vương,Dự án Vincom Hùng Vương,Dự án Vincom Hùng Vương,71.638.460.640,-,71638460640.0,
Dự án Vincom Lý Bôn - Thái Bình,Dự án Vincom Lý Bôn - Thái Bình,Dự án Vincom Lý Bôn - Thái Bình,61.882.078.218,-,61882078218.0,
Dự án Vinhomes Hà Tĩnh,Dự án Vinhomes Hà Tĩnh,Dự án Vinhomes Hà Tĩnh,50.625.915.469,-,50625915469.0,
Dự án Vincom Yên Bái,Dự án Vincom Yên Bái,Dự án Vincom Yên Bái,46.548.869.440,-,46548869440.0,
Dự án Vinhomes Hạ Long,Dự án Vinhomes Hạ Long,Dự án Vinhomes Hạ Long,34.016.862.606,-,34016862606.0,
Dự án Vincom Thanh Hóa,Dự án Vincom Thanh Hóa,Dự án Vincom Thanh Hóa,12.942.906.625,-,12942906625.0,
Các dự án khác,Các dự án khác,Các dự án khác,39.235.739.915,39.908.029.732,39235739915.0,39908029732.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.805.541.943.577,323.868.622.522,2805541943577.0,323868622522.0
