row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính:VNDNăm trước(trình bày lại),numeric__Năm nay,numeric__Đơn vị tính:VNDNăm trước(trình bày lại)
Chi phí hình thành bất động sản trong kỳ,Chi phí hình thành bất động sản trong kỳ,Chi phí hình thành bất động sản trong kỳ,730.548.865.044,49.238.886.617,730548865044.0,49238886617.0
Chi phí nhận công,Chi phí nhận công,Chi phí nhận công,374.913.844.985,181.343.890.878,374913844985.0,181343890878.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,32.696.324.502,17.773.735.155,32696324502.0,17773735155.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,326.193.476.136,307.372.160.143,326193476136.0,307372160143.0
Chi phí khác (không bao gồm chi phí tài chính),Chi phí khác (không bao gồm chi phí tài chính),Chi phí khác (không bao gồm chi phí tài chính),223.943.092.027,324.473.509.583,223943092027.0,324473509583.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.688.295.602.694,880.202.182.376,1688295602694.0,880202182376.0
