row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Chuyển nhượng cổ phần,Nhận thanh toán tiền chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Thanh toán nhận chuyển nhượng cổ phần,numeric__Mối quan hệ,numeric__Chuyển nhượng cổ phần,numeric__Nhận thanh toán tiền chuyển nhượng cổ phần,numeric__Nhận chuyển nhượng cổ phần,numeric__Thanh toán nhận chuyển nhượng cổ phần
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,210.300.000.000,(632.641.898.952),(6.000.000.000),6.000.000.000,,210300000000.0,-632641898952.0,-6000000000.0,6000000000.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,300.000.000,(1.566.745.467.097),-,-,,300000000.0,-1566745467097.0,,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,3.680.262.726.328,(3.680.288.591.328),-,-,,3680262726328.0,-3680288591328.0,,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,552.960.000.000,(626.033.040.000),-,-,,552960000000.0,-626033040000.0,,
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,907.887.877.800,(907.887.877.800),-,-,,907887877800.0,-907887877800.0,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,,,,,
,,,,,,,Đơn vị tính: VND,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Chuyển nhượng cổ phần,Nhận thanh toán tiền chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Thanh toán nhận chuyển nhượng cổ phần,,,,,
Công ty Vinschool,Bên liên quan > Công ty Vinschool,Công ty Vinschool,Công ty con,605.000.000.000,(531.384.000.000),-,-,,605000000000.0,-531384000000.0,,
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,2.138.539.500.000,(657.100.032.903),-,-,,2138539500000.0,-657100032903.0,,
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,1.508.699.000.000,(1.086.357.101.048),(6.000.000.000),6.000.000.000,,1508699000000.0,-1086357101048.0,-6000000000.0,6000000000.0
Công ty Thời Đại,Bên liên quan > Công ty Thời Đại,Công ty Thời Đại,Công ty con,4.277.079.000.000,(4.277.079.000.000),-,-,,4277079000000.0,-4277079000000.0,,
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty con,-,-,(648.000.000.000),623.000.000.000,,,,-648000000000.0,623000000000.0
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,229.722.222.222,(229.722.222.222),-,-,,229722222222.0,-229722222222.0,,
Công ty Vin GS,Bên liên quan > Công ty Vin GS,Công ty Vin GS,Công ty con,85.006.000.000,-,-,-,,85006000000.0,,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,3.564.232.500.000,(3.564.232.500.000),-,-,,3564232500000.0,-3564232500000.0,,
