row_label_raw,row_label_full,Tên đơn vị,Số cuối năm,Đơn vị tính:VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính:VND Số đầu năm
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,663.181.818.182,663.181.818.182,663181818182.0,663181818182.0
"Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Thăng Long (""Công ty BDS Thăng Long"") (i)","Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Thăng Long (""Công ty BDS Thăng Long"") (i)","Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Thăng Long (""Công ty BDS Thăng Long"") (i)",167.500.000.000,17.500.000.000,167500000000.0,17500000000.0
Công ty Cổ phần Bê tông Ngoại thương (ii),Công ty Cổ phần Bê tông Ngoại thương (ii),Công ty Cổ phần Bê tông Ngoại thương (ii),15.300.000.000,9.000.000.000,15300000000.0,9000000000.0
"Công ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông (""Công ty Ngọc Viễn Đông"") (ii)","Công ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông (""Công ty Ngọc Viễn Đông"") (ii)","Công ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông (""Công ty Ngọc Viễn Đông"") (ii)",519.232.500.000,6.000.000.000,519232500000.0,6000000000.0
Công ty M.Y.M (Thuyết minh số 18.1),Công ty M.Y.M (Thuyết minh số 18.1),Công ty M.Y.M (Thuyết minh số 18.1),117.000.000.000,-,117000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.482.214.318.182,695.681.818.182,1482214318182.0,695681818182.0
