row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số đầu năm(trình bày lại) > Giá gốc,Số đầu năm(trình bày lại) > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm(trình bày lại) > Giá gốc,numeric__Số đầu năm(trình bày lại) > Giá trị ghi sổ
- Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi (i),- Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi (i),- Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi (i),1.627.000.000.000,1.627.000.000.000,116.000.000.000,116.000.000.000,1627000000000.0,1627000000000.0,116000000000.0,116000000000.0
- Các khoản tiền gửi dài hạn đến hạn phải thu hồi (ii)(Thuyết minh số 18),- Các khoản tiền gửi dài hạn đến hạn phải thu hồi (ii)(Thuyết minh số 18),- Các khoản tiền gửi dài hạn đến hạn phải thu hồi (ii)(Thuyết minh số 18),497.621.378.611,497.621.378.611,497.621.378.611,497.621.378.611,497621378611.0,497621378611.0,497621378611.0,497621378611.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.124.621.378.611,2.124.621.378.611,613.621.378.611,613.621.378.611,2124621378611.0,2124621378611.0,613621378611.0,613621378611.0
"(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.","(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.","(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.","(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.","(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.","(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.","(i) Các khoản tiền gửi ngân hàng và chứng chỉ tiền gửi tại ngày 31 tháng 12 năm 2015 có kỳ hạn từ 6 tháng đến 1 năm với lãi suất từ 5,2%/năm đến 7,3%/năm.",,,,
"(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.","(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.","(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.","(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.","(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.","(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.","(ii) Các khoản tiền gửi ngân hàng tại ngày 31 tháng 12 năm 2015 có kỳ hạn gốc từ 19 tháng đến 25 tháng, kỳ hạn còn lại là 1 tháng và hưởng lãi suất 7,8%/năm.",,,,
