row_label_raw,row_label_full,Năm trước > Số dư đầu năm,Vốn cố phần đã phát hành > Năm trước > 9.296.036.790.000,Thặng dư vốn cố phần > Năm trước > 13.706.823.617.810,Cố phiếu quỹ > Năm trước > (1.746.271.037.482),Quỹ khác thuộc vốn chủ sở hữu (trình bày lại) > Năm trước > 16.000.000.000,Lợi nhuận sau thuế chưa phân phối > Năm trước > 6.562.874.420.378,Đơn vị tính: VND > Năm trước > 27.835.463.790.706,numeric__Vốn cố phần đã phát hành > Năm trước > 9.296.036.790.000,numeric__Thặng dư vốn cố phần > Năm trước > 13.706.823.617.810,numeric__Cố phiếu quỹ > Năm trước > (1.746.271.037.482),numeric__Quỹ khác thuộc vốn chủ sở hữu (trình bày lại) > Năm trước > 16.000.000.000,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 6.562.874.420.378,numeric__Đơn vị tính: VND > Năm trước > 27.835.463.790.706
- Tăng từ chuyển đổi trái phiếu,- Tăng từ chuyển đổi trái phiếu,- Tăng từ chuyển đổi trái phiếu,722.201.960.000,2.095.118.040.000,-,-,-,2.817.320.000.000,722201960000.0,2095118040000.0,,,,2817320000000.0
- Trích quỹ khác,- Trích quỹ khác,- Trích quỹ khác,-,-,-,5.000.000.000,(5.000.000.000),-,,,,5000000000.0,-5000000000.0,
- Tại phát hành cố phiếu quỹ để góp vốn vào Công ty Vinpearl,- Tại phát hành cố phiếu quỹ để góp vốn vào Công ty Vinpearl,- Tại phát hành cố phiếu quỹ để góp vốn vào Công ty Vinpearl,-,696.198.345.518,1.746.271.037.482,-,-,2.442.469.383.000,,696198345518.0,1746271037482.0,,,2442469383000.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,2.021.003.054.776,2.021.003.054.776,,,,,2021003054776.0,2021003054776.0
- Cổ tức công bố trong năm,- Cổ tức công bố trong năm,- Cổ tức công bố trong năm,4.527.312.230.000,-,-,-,(6.525.105.392.288),(1.997.793.162.288),4527312230000.0,,,,-6525105392288.0,-1997793162288.0
- Điều chỉnh liên quan đến thuế thu nhập hoãn lại phải trả từ giao dịch sáp nhập Công ty PFV,- Điều chỉnh liên quan đến thuế thu nhập hoãn lại phải trả từ giao dịch sáp nhập Công ty PFV,- Điều chỉnh liên quan đến thuế thu nhập hoãn lại phải trả từ giao dịch sáp nhập Công ty PFV,-,70.634.631.504,-,-,-,70.634.631.504,,70634631504.0,,,,70634631504.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,14.545.550.980.000,16.568.774.634.832,-,21.000.000.000,2.053.772.082.866,33.189.097.697.698,14545550980000.0,16568774634832.0,,21000000000.0,2053772082866.0,33189097697698.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,14.545.550.980.000,16.568.774.634.832,-,21.000.000.000,2.053.772.082.866,33.189.097.697.698,14545550980000.0,16568774634832.0,,21000000000.0,2053772082866.0,33189097697698.0
- Tăng từ chuyển đổi trái phiếu (i),Năm nay > - Tăng từ chuyển đổi trái phiếu (i),- Tăng từ chuyển đổi trái phiếu (i),372.690.630.000,710.507.720.930,-,-,-,1.083.198.350.930,372690630000.0,710507720930.0,,,,1083198350930.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,-,5.000.000.000,(5.000.000.000),-,,,,5000000000.0,-5000000000.0,
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,2.978.653.161.317,2.978.653.161.317,,,,,2978653161317.0,2978653161317.0
- Cổ tức công bố trong năm (ii),Năm nay > - Cổ tức công bố trong năm (ii),- Cổ tức công bố trong năm (ii),3.763.639.260.000,-,-,-,(3.763.639.260.000),-,3763639260000.0,,,,-3763639260000.0,
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,18.681.880.870.000,17.279.282.355.762,-,26.000.000.000,1.263.785.984.183,37.250.949.209.945,18681880870000.0,17279282355762.0,,26000000000.0,1263785984183.0,37250949209945.0
