row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm(trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(trình bày lại)
200,200,200,B. TÀI SẢN DÀI HẠN,,54.082.083.973.728,40.784.821.808.845,,,54082083973728.0,40784821808845.0
210,210,210,I. Các khoản phải thu dài hạn,,11.135.844.306.667,8.091.078.206.667,,,11135844306667.0,8091078206667.0
215,215,215,1. Phải thu về cho vay dài hạn,9,11.135.841.666.667,8.091.074.666.667,,9.0,11135841666667.0,8091074666667.0
216,216,216,2. Phải thu dài hạn khác,,2.640.000,3.540.000,,,2640000.0,3540000.0
220,220,220,II. Tài sản cố định,,214.091.787.205,104.324.220.093,,,214091787205.0,104324220093.0
221,221,221,1. Tài sản cố định hữu hình,14,194.042.685.459,102.014.347.170,,14.0,194042685459.0,102014347170.0
222,222,222,Nguyên giá,,253.059.710.605,139.031.470.716,,,253059710605.0,139031470716.0
223,223,223,Giá trị hao mòn lũy kế,,(59.017.025.146),(37.017.123.546),,,-59017025146.0,-37017123546.0
227,227,227,2. Tài sản cố định vô hình,,20.049.101.746,2.309.872.923,,,20049101746.0,2309872923.0
228,228,228,Nguyên giá,,35.150.011.380,12.983.112.859,,,35150011380.0,12983112859.0
229,229,229,Giá trị hao mòn lũy kế,,(15.100.909.634),(10.673.239.936),,,-15100909634.0,-10673239936.0
230,230,230,III. Bất động sản đầu tư,15,82.735.895.923,84.659.986.526,,15.0,82735895923.0,84659986526.0
231,231,231,1. Nguyên giá,,87.706.085.875,87.706.085.875,,,87706085875.0,87706085875.0
232,232,232,2. Giá trị hao mòn lũy kế,,(4.970.189.952),(3.046.099.349),,,-4970189952.0,-3046099349.0
240,240,240,IV. Tài sản dở dang dài hạn,17,2.805.541.943.577,323.868.622.522,,17.0,2805541943577.0,323868622522.0
242,242,242,1. Chí phí xây dựng cơ bản dở dang,,2.805.541.943.577,323.868.622.522,,,2805541943577.0,323868622522.0
250,250,250,V. Đầu tư tài chính dài hạn,18,38.275.539.416.775,29.504.213.677.394,,18.0,38275539416775.0,29504213677394.0
251,251,251,1. Đầu tư vào công ty con,,34.479.034.583.248,28.244.446.859.212,,,34479034583248.0,28244446859212.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",,1.482.214.318.182,695.681.818.182,,,1482214318182.0,695681818182.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,2.314.290.515.345,564.085.000.000,,,2314290515345.0,564085000000.0
260,260,260,VI. Tài sản dài hạn khác,,1.568.330.623.581,2.676.677.095.643,,,1568330623581.0,2676677095643.0
261,261,261,1. Chỉ phí trả trước dài hạn,12,67.515.682.870,76.677.095.643,,12.0,67515682870.0,76677095643.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,,814.940.711,-,,,814940711.0,
268,268,268,3. Tài sản dài hạn khác,13,1.500.000.000.000,2.600.000.000.000,,13.0,1500000000000.0,2600000000000.0
270,270,270,TỔNG CỘNG TÀI SẢN,,78.320.905.517.012,60.877.029.485.865,,,78320905517012.0,60877029485865.0
