row_label_raw,row_label_full,col_0,Số đầu năm(trình bày lại),Số phát sinhtrong năm,Đơn vị tính:VND > Số đã nộptrong năm,Đơn vị tính:VND > Số cuối năm,numeric__Số đầu năm(trình bày lại),numeric__Số phát sinhtrong năm,numeric__Đơn vị tính:VND > Số đã nộptrong năm,numeric__Đơn vị tính:VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,131.998.082,9.751.138.114,(9.883.136.196),-,131998082.0,9751138114.0,-9883136196.0,
"Thuế xuất, nhập khẩu","Phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,1.280.605.878,(1.280.605.878),-,,1280605878.0,-1280605878.0,
Thuế thu nhập doanhnghiệp(Thuyết minh số 30),Phải nộp > Thuế thu nhập doanhnghiệp(Thuyết minh số 30),Thuế thu nhập doanhnghiệp(Thuyết minh số 30),-,6.049.617.202,(6.049.617.202),-,,6049617202.0,-6049617202.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.747.824.142,54.433.633.212,(48.109.293.289),9.072.164.065,2747824142.0,54433633212.0,-48109293289.0,9072164065.0
Tiền sử dụng đất phảinộp,Phải nộp > Tiền sử dụng đất phảinộp,Tiền sử dụng đất phảinộp,243.159.240.000,622.189.254.000,(865.348.494.000),-,243159240000.0,622189254000.0,-865348494000.0,
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,3.799.363.013,49.809.339.317,(53.328.543.048),280.159.282,3799363013.0,49809339317.0,-53328543048.0,280159282.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,249.838.425.237,747.672.543.067,(988.158.644.957),9.352.323.347,249838425237.0,747672543067.0,-988158644957.0,9352323347.0
,,,Số đầu năm(trình bày lại),Số phát sinh trongnăm,Số đã thutrong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.274.991.133,32.492.953.833,-,35.767.944.966,3274991133.0,32492953833.0,,35767944966.0
Thuế thu nhập doanhnghiệp nộp thừa,Phải thu > Thuế thu nhập doanhnghiệp nộp thừa,Thuế thu nhập doanhnghiệp nộp thừa,3.284.386.992,(361.232.349),-,2.923.154.643,3284386992.0,-361232349.0,,2923154643.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,6.559.378.125,32.711.523.736,-,38.691.099.609,6559378125.0,32711523736.0,,38691099609.0
