row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,"Mua tài sản, dịch vụ phải trả","Thanh toán mua tài sản, dịch vụ","Doanh thu cung cấp dịch vụ quản lý, phí thương hiệu và bán điện nước phải thu","Đơn vị tính: VNDDoanh thu cung cấp dịch vụ quản lý, phí thương hiệu và bán điện nước đã thu",numeric__Mối quan hệ,"numeric__Mua tài sản, dịch vụ phải trả","numeric__Thanh toán mua tài sản, dịch vụ","numeric__Doanh thu cung cấp dịch vụ quản lý, phí thương hiệu và bán điện nước phải thu","numeric__Đơn vị tính: VNDDoanh thu cung cấp dịch vụ quản lý, phí thương hiệu và bán điện nước đã thu"
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,(11.832.959.805),3.254.367.126,15.365.055.374,(141.919.757.449),,-11832959805.0,3254367126.0,15365055374.0,-141919757449.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,-,-,86.878.010.009,(86.878.010.009),,,,86878010009.0,-86878010009.0
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,(27.341.661),15.825.238,163.117.402.012,(308.714.288.844),,-27341661.0,15825238.0,163117402012.0,-308714288844.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,-,307.978.686.548,(167.367.320.979),,,,307978686548.0,-167367320979.0
Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty Xây dựng Vincom 2,Công ty con,(255.487.287.846),260.399.109.542,-,-,,-255487287846.0,260399109542.0,,
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,(295.744.076.187),230.481.490.718,-,-,,-295744076187.0,230481490718.0,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Mua tài sản phải trả,Thanh toán phải trả mua tài sản,Doanh thu cung cấp dịch vụ quản lý,Đơn vị tính: VNDDoanh thu cung cấp dịch vụ quản lý đã thu,,,,,
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,-,139.960.790.573,(84.389.895.729),,,,139960790573.0,-84389895729.0
Công ty Sài Đồng,Bên liên quan > Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,-,-,120.213.363.204,(30.128.019.365),,,,120213363204.0,-30128019365.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,(821.926.241),821.926.241,102.925.435.086,(24.647.478.721),,-821926241.0,821926241.0,102925435086.0,-24647478721.0
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty con,-,-,84.257.195.638,(47.285.841.181),,,,84257195638.0,-47285841181.0
