row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Đơn vị tính: VND > Tiền chuyển từ công ty con vào tài khoản quản lý tiền tập trung,Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con,numeric__Mối quan hệ,numeric__Đơn vị tính: VND > Tiền chuyển từ công ty con vào tài khoản quản lý tiền tập trung,numeric__Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con
Công ty Vinmart+,Công ty Vinmart+,Công ty Vinmart+,Công ty con,(132.050.831.931),144.797.483.676,,-132050831931.0,144797483676.0
Công ty Vinecom,Công ty Vinecom,Công ty Vinecom,Công ty con,(196.039.893.288),218.480.274.955,,-196039893288.0,218480274955.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,(427.106.402.239),422.528.742.380,,-427106402239.0,422528742380.0
Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty Vinpearl Nha Trang,Công ty con,(3.265.396.087.182),3.155.450.109.586,,-3265396087182.0,3155450109586.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty con,(1.290.609.569.355),1.369.692.009.764,,-1290609569355.0,1369692009764.0
Công ty M.Y.M,Công ty M.Y.M,Công ty M.Y.M,Công ty liên kết,(312.949.898.790),331.128.059.841,,-312949898790.0,331128059841.0
