row_label_raw,row_label_full,col_0,Đơn vị tính:VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính:VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính:VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính:VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Phải trả cho người bán ngắn hạn khác,Phải trả cho người bán ngắn hạn khác,Phải trả cho người bán ngắn hạn khác,51.956.170.767,16.610.817.790,51956170767.0,16610817790.0
Phải trả cho các bên liên quan(Thuyết minh số 31),Phải trả cho các bên liên quan(Thuyết minh số 31),Phải trả cho các bên liên quan(Thuyết minh số 31),84.331.925.812,29.463.484.397,84331925812.0,29463484397.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,136.288.096.579,46.074.302.187,136288096579.0,46074302187.0
