row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,41.069.956.307.067,27.687.931.788.167,,,41069956307067.0,27687931788167.0
310,310,310,I. Nợ ngắn hạn,,20.129.324.462.838,8.483.803.086.673,,,20129324462838.0,8483803086673.0
311,311,311,1. Phải trả người bán ngắn hạn,19,136.288.096.579,46.074.302.187,,19.0,136288096579.0,46074302187.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,28.358.671.265,7.908.840.017,,,28358671265.0,7908840017.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,9.352.323.347,249.838.425.237,,20.0,9352323347.0,249838425237.0
314,314,314,4. Phải trả người lao động,,14.600.225.362,13.034.839.193,,,14600225362.0,13034839193.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,764.864.295.381,566.089.686.086,,21.0,764864295381.0,566089686086.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,26.643.140.907,-,,,26643140907.0,
319,319,319,7. Phải trả ngắn hạn khác,22,5.047.407.477.029,1.573.363.101.316,,22.0,5047407477029.0,1573363101316.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,23.1,14.101.810.232.968,6.027.493.892.637,,231.0,14101810232968.0,6027493892637.0
330,330,330,II. Nợ dài hạn,,20.940.631.844.229,19.204.128.701.494,,,20940631844229.0,19204128701494.0
337,337,337,1. Phải trả dài hạn khác,,-,2.438.679.366,,,,2438679366.0
338,338,338,2. Vay và nợ thuê tài chính dài hạn,23.2,18.558.230.083.647,15.859.405.931.214,,232.0,18558230083647.0,15859405931214.0
339,339,339,3. Trái phiếu chuyển đổi,24,2.382.401.760.582,3.342.284.090.914,,24.0,2382401760582.0,3342284090914.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,37.250.949.209.945,33.189.097.697.698,,,37250949209945.0,33189097697698.0
410,410,410,I. Vốn chủ sở hữu,25,37.250.949.209.945,33.189.097.697.698,,25.0,37250949209945.0,33189097697698.0
411,411,411,1. Vốn cổ phần đã phát hành,,18.681.880.870.000,14.545.550.980.000,,,18681880870000.0,14545550980000.0
411a,411a,411a,- Cổ phần phổ thông có quyền biểu quyết,,18.681.880.870.000,14.545.550.980.000,,,18681880870000.0,14545550980000.0
411b,411b,411b,- Cổ phần ưu đãi,,-,-,,,,
412,411b > 412,412,2. Thặng dư vốn cổ phần,,17.279.282.355.762,16.568.774.634.832,,,17279282355762.0,16568774634832.0
420,411b > 420,420,3. Quỹ khác thuộc vốn chủ sở hữu,,26.000.000.000,21.000.000.000,,,26000000000.0,21000000000.0
421,411b > 421,421,4. Lợi nhuận sau thuế chưa phân phối,,1.263.785.984.183,2.053.772.082.866,,,1263785984183.0,2053772082866.0
421a,411b > 421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,,6.467.923.866,32.769.028.090,,,6467923866.0,32769028090.0
421b,411b > 421b,421b,- Lợi nhuận sau thuế chưa phân phối kỳ này,,1.257.318.060.317,2.021.003.054.776,,,1257318060317.0,2021003054776.0
440,411b > 440,440,TỔNG CỘNG NGUỒN VỐN,,78.320.905.517.012,60.877.029.485.865,,,78320905517012.0,60877029485865.0
