row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (trình bày lại)
,,,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,2.984.249.070.157,1.985.123.062.250,,,2984249070157.0,1985123062250.0
02,02,02,Khấu hao tài sản cố định và bất động sản đầu tư,,32.696.324.498,18.062.912.981,,,32696324498.0,18062912981.0
03,03,03,Các khoản dự phòng,,16.153.342.918,25.336.772.407,,,16153342918.0,25336772407.0
04,04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,28,362.536.155.833,148.811.381.912,,28.0,362536155833.0,148811381912.0
05,05,05,Lãi từ hoạt động đầu tư,32,(6.103.340.162.991),(4.783.225.203.280),,32.0,-6103340162991.0,-4783225203280.0
06,06,06,Chỉ phí lãi vay,28,2.643.993.985.025,2.404.947.198.098,,28.0,2643993985025.0,2404947198098.0
08,08,08,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu động,,(63.711.284.560),(200.943.875.632),,,-63711284560.0,-200943875632.0
09,09,09,Giảm/(tăng) các khoản phải thu,,819.292.994.755,(47.759.198.225),,,819292994755.0,-47759198225.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(708.390.022.860),56.770.931.674,,,-708390022860.0,56770931674.0
11,11,11,"Tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,1.715.963.156.888,364.488.322.332,,,1715963156888.0,364488322332.0
12,12,12,Giảm/(tăng) chỉ phí trả trước,,18.728.068.880,(192.485.850.387),,,18728068880.0,-192485850387.0
13,13,13,Giảm chứng khoản kinh doanh,,112.322.695.000,-,,,112322695000.0,
14,14,14,Tiền lãi vay đã trả,,(2.109.726.467.240),(1.661.632.581.540),,,-2109726467240.0,-1661632581540.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,30.2,(6.049.617.202),-,,302.0,-6049617202.0,
17,17,17,Tiền chỉ khác cho hoạt động kinh doanh,,-,(125.250.535),,,,-125250535.0
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(221.570.476.339),(1.681.687.502.313),,,-221570476339.0,-1681687502313.0
,,,II. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chỉ đề mua sám, xây dựng tài sản cố định và các tài sản dài hạn khác",32,(3.386.260.534.939),(57.441.532.768),,32.0,-3386260534939.0,-57441532768.0
22,22,22,Tiền thu được từ thanh lý tài sản cố định và các tài sản dài hạn khác,,95.458.333,-,,,95458333.0,
23,23,23,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(30.902.159.877.479),(17.461.823.015.255),,,-30902159877479.0,-17461823015255.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,23.704.297.552.386,11.299.930.905.298,,,23704297552386.0,11299930905298.0
25,25,25,Tiền chỉ đầu tư góp vốn vào đơn vị khác,32,(18.819.653.168.181),(10.877.956.731.244),,32.0,-18819653168181.0,-10877956731244.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,32,15.115.624.780.095,4.314.405.882.222,,32.0,15115624780095.0,4314405882222.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,4.078.569.992.922,1.146.446.937.771,,,4078569992922.0,1146446937771.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(10.209.485.796.863),(11.636.437.553.976),,,-10209485796863.0,-11636437553976.0
