row_label_raw,row_label_full,Tiền chuyển từ công ty con vào tài khoản quản lý tiền tập trung,Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con,numeric__Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con
(2.436.712.420.511),(2.436.712.420.511),(2.436.712.420.511),2.424.586.237.570,2424586237570.0
(1.029.808.777.429),(1.029.808.777.429),(1.029.808.777.429),1.082.553.654.985,1082553654985.0
(662.519.593.924),(662.519.593.924),(662.519.593.924),1.012.029.899.636,1012029899636.0
(1.942.366.385.927),(1.942.366.385.927),(1.942.366.385.927),1.827.634.280.680,1827634280680.0
(5.430.453.441.723),(5.430.453.441.723),(5.430.453.441.723),5.618.954.579.119,5618954579119.0
(109.872.004.015),(109.872.004.015),(109.872.004.015),123.407.283.721,123407283721.0
(572.771.004.209),(572.771.004.209),(572.771.004.209),672.110.878.989,672110878989.0
(580.690.175.221),(580.690.175.221),(580.690.175.221),590.620.006.660,590620006660.0
(1.172.695.065.533),(1.172.695.065.533),(1.172.695.065.533),1.229.517.041.733,1229517041733.0
(336.256.560.750),(336.256.560.750),(336.256.560.750),358.772.132.349,358772132349.0
(180.967.836.288),(180.967.836.288),(180.967.836.288),179.629.453.942,179629453942.0
(1.738.089.119.035),(1.738.089.119.035),(1.738.089.119.035),1.664.139.894.256,1664139894256.0
(908.494.809.612),(908.494.809.612),(908.494.809.612),919.089.574.461,919089574461.0
(262.238.250.958),(262.238.250.958),(262.238.250.958),287.465.025.300,287465025300.0
(3.100.727.245.788),(3.100.727.245.788),(3.100.727.245.788),3.196.791.553.498,3196791553498.0
