row_label_raw,row_label_full,Mã số,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,col_2,Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),Phân loại lại,Ngày 31 tháng 12 năm 2014 (được phân loại lại),numeric__BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,numeric__col_2,numeric__Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),numeric__Phân loại lại,numeric__Ngày 31 tháng 12 năm 2014 (được phân loại lại)
121,121,121,Đầu tư ngắn hạn,(1),11.128.236.360.604(*),(11.128.236.360.604),(**),,-1.0,,-11128236360604.0,
121,121,121,Chứng khoán kinh doanh,(1),11.128.236.360.604(*),105.781.413.500,105.781.413.500,,-1.0,,105781413500.0,105781413500.0
121,121,121,Dự phòng giảm giá đầu tư ngắn hạn,(2),(77.245.017.700),77.245.017.700,(**),,-2.0,-77245017700.0,77245017700.0,
122,122,122,Dự phòng giảm giá chứng khoán kinh doanh,(2),(*),(31.336.416.600),(31.336.416.600),,-2.0,,-31336416600.0,-31336416600.0
123,123,123,Đầu tư nằm giữ đến ngày đáo hạn,(1),(*),613.621.378.611,613.621.378.611,,-1.0,,613621378611.0,613621378611.0
132,132,132,Trả trước cho người bán ngắn hạn,(3),25.707.557.582,88.659.007.975,114.366.565.557,,-3.0,25707557582.0,88659007975.0,114366565557.0
135,135,135,Phải thu về cho vay ngắn hạn,(1),(*),10.095.161.190.581,10.095.161.190.581,,-1.0,,10095161190581.0,10095161190581.0
136,136,136,Phải thu ngắn hạn khác,(3),3.219.663.790.306,(87.950.275.871),3.131.713.514.435,,-3.0,3219663790306.0,-87950275871.0,3131713514435.0
137,137,137,Dự phòng phải thu ngắn hạn khó đối,(2),(23.083.251.751),(45.908.601.100),(68.991.852.851),,-2.0,-23083251751.0,-45908601100.0,-68991852851.0
151,151,151,Chi phí trả trước ngắn hạn,(4),35.530.445.611,(9.303.353.064),26.227.092.547,,-4.0,35530445611.0,-9303353064.0,26227092547.0
155,155,155,Tài sản ngắn hạn khác,(3),4.247.747.328.596,(708.732.104),4.247.038.596.492,,-3.0,4247747328596.0,-708732104.0,4247038596492.0
215,215,215,Phải thu về cho vay dài hạn,(5),(*),8.091.074.666.667,8.091.074.666.667,,-5.0,,8091074666667.0,8091074666667.0
216,216,216,Phải thu dài hạn khác,(6),(*),3.540.000,3.540.000,,-6.0,,3540000.0,3540000.0
242,242,242,Chi phí xây dựng cơ bản dở dang,(1),10.196.244.610,313.672.377.912,323.868.622.522,,-1.0,10196244610.0,313672377912.0,323868622522.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,(5),(*),564.085.000.000,564.085.000.000,,-5.0,,564085000000.0,564085000000.0
253,253,253,Đầu tư dài hạn khác,(5),8.655.159.666.667,(8.655.159.666.667),(**),,-5.0,8655159666667.0,-8655159666667.0,
261,261,261,Chi phí trả trước dài hạn,(7),720.305.231.696,(643.628.136.053),76.677.095.643,,-7.0,720305231696.0,-643628136053.0,76677095643.0
268,268,268,Tài sản dài hạn khác,(6),2.600.003.540.000,(3.540.000),2.600.000.000.000,,-6.0,2600003540000.0,-3540000.0,2600000000000.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,(8),6.679.185.237,243.159.240.000,249.838.425.237,,-8.0,6679185237.0,243159240000.0,249838425237.0
315,315,315,Chi phí phải trả ngắn hạn,(9),566.135.479.708,(45.793.622),566.089.686.086,,-9.0,566135479708.0,-45793622.0,566089686086.0
319,319,319,Phải trả ngắn hạn khác,"(8),(9)",1.816.476.547.694,(243.113.446.378),1.573.363.101.316,,,1816476547694.0,-243113446378.0,1573363101316.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,(7),6.049.846.940.173,(22.353.047.536),6.027.493.892.637,,-7.0,6049846940173.0,-22353047536.0,6027493892637.0
338,338,338,Vay và nợ thuê tài chính dài hạn,"(4),(7),(10)",19.832.268.463.709,(3.972.862.532.495),15.859.405.931.214,,,19832268463709.0,-3972862532495.0,15859405931214.0
339,339,339,Trái phiếu chuyển đổi,"(7),(10)",(*),3.342.284.090.914,3.342.284.090.914,,,,3342284090914.0,3342284090914.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,(11),(*),21.000.000.000,21.000.000.000,,-11.0,,21000000000.0,21000000000.0
420,420,420,Quỹ dự phòng tài chính,(11),21.000.000.000,(21.000.000.000),(**),,-11.0,21000000000.0,-21000000000.0,
