row_label_raw,row_label_full,col_0,2024,2023Tính lại (*),numeric__2024,numeric__2023Tính lại (*)
Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),12.762.953,10.070.898,12762953.0,10070898.0
"Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi(Triệu đồng)","Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi(Triệu đồng)","Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi(Triệu đồng)",-,(10.000),,-10000.0
,,,12.762.953,10.060.898,12762953.0,10060898.0
Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),3.476.568.929,3.471.060.732,3476568929.0,3471060732.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),3.671,2.899,3671.0,2899.0
