row_label_raw,row_label_full,col_0,2024Triệu đồng,2023Triệu đồng,numeric__2024Triệu đồng,numeric__2023Triệu đồng
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,16.729.995,13.016.732,16729995.0,13016732.0
Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,3.345.999,2.603.346,3345999.0,2603346.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,-,(2.550),,-2550.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,157.858,74.867,157858.0,74867.0
Điều chỉnh số thuế phải nộp của năm trước,Điều chỉnh số thuế phải nộp của năm trước,Điều chỉnh số thuế phải nộp của năm trước,(7.178),4.098,-7178.0,4098.0
Điều chỉnh lợi nhuận do hợp nhất báo cáo tài chính,Điều chỉnh lợi nhuận do hợp nhất báo cáo tài chính,Điều chỉnh lợi nhuận do hợp nhất báo cáo tài chính,(14.332),958,-14332.0,958.0
Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),3.482.347,2.680.719,3482347.0,2680719.0
Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động hợp nhất:,,,,
Chi phí thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động hợp nhất: > Chi phí thuế TNDN - hiện hành,Chi phí thuế TNDN - hiện hành,3.561.555,2.724.629,3561555.0,2724629.0
Thu nhập thuế TNDN - hoãn lại (i),Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động hợp nhất: > Thu nhập thuế TNDN - hoãn lại (i),Thu nhập thuế TNDN - hoãn lại (i),(79.208),(43.910),-79208.0,-43910.0
Chi phí thuế TNDN (*),Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động hợp nhất: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),3.482.347,2.680.719,3482347.0,2680719.0
