row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,VND,USD,EUR,Vàng,Đơn vị: Triệu đồng > Khác,Đơn vị: Triệu đồng > Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Vàng,numeric__Đơn vị: Triệu đồng > Khác,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",2.264.414,577.371,28.028,11.860,223.682,3.105.355,2264414.0,577371.0,28028.0,11860.0,223682.0,3105355.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,25.099.301,1.576.307,4.662,-,-,26.680.270,25099301.0,1576307.0,4662.0,,,26680270.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,85.529.737,9.476.764,358.611,-,6.235.142,101.600.254,85529737.0,9476764.0,358611.0,,6235142.0,101600254.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,21.955.775,-,-,-,-,21.955.775,21955775.0,,,,,21955775.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),423.514.172,18.645.518,28.700,-,296.451,442.484.841,423514172.0,18645518.0,28700.0,,296451.0,442484841.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),48.844.134,-,-,-,-,48.844.134,48844134.0,,,,,48844134.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",876.285,-,-,-,-,876.285,876285.0,,,,,876285.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,1.765.927,-,-,-,-,1.765.927,1765927.0,,,,,1765927.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),44.888.727,11.194.719,1.533,-,5.520,56.090.499,44888727.0,11194719.0,1533.0,,5520.0,56090499.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,654.738.472,41.470.679,421.534,11.860,6.760.795,703.403.340,654738472.0,41470679.0,421534.0,11860.0,6760795.0,703403340.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,15.434,-,-,-,-,15.434,15434.0,,,,,15434.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,77.286.473,20.020.821,28.700,-,2.124.585,99.460.579,77286473.0,20020821.0,28700.0,,2124585.0,99460579.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,433.635.028,3.226.967,231.414,-,411.756,437.505.165,433635028.0,3226967.0,231414.0,,411756.0,437505165.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(10.625.104),6.612.000,26.574,-,4.004.979,18.449,-10625104.0,6612000.0,26574.0,,4004979.0,18449.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,2.737.452,-,-,50.991,2.788.443,,2737452.0,,,50991.0,2788443.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,73.086.294,8.263.450,-,-,-,81.349.744,73086294.0,8263450.0,,,,81349744.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,18.619.583,769.814,129.128,425,52.433,19.571.383,18619583.0,769814.0,129128.0,425.0,52433.0,19571383.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,592.017.708,41.630.504,415.816,425,6.644.744,640.709.197,592017708.0,41630504.0,415816.0,425.0,6644744.0,640709197.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,62.720.764,(159.825),5.718,11.435,116.051,62.694.143,62720764.0,-159825.0,5718.0,11435.0,116051.0,62694143.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,866,-,-,(106.152),(105.286),,866.0,,,-106152.0,-105286.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",62.720.764,(158.959),5.718,11.435,9.899,62.588.857,62720764.0,-158959.0,5718.0,11435.0,9899.0,62588857.0
