row_label_raw,row_label_full,col_0,Vớn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Các quỹ khác,Tổng cộng Quỹ của TCTD,Vốn đầu tư xây dựng cơ bản,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vớn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Các quỹ khác,numeric__Tổng cộng Quỹ của TCTD,numeric__Vốn đầu tư xây dựng cơ bản,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,25.303.429,535.956,(413.448),2.352.091,1.048.387,127.249,3.527.727,89,7.999.785,2.041.348,38.994.886,25303429.0,535956.0,-413448.0,2352091.0,1048387.0,127249.0,3527727.0,89.0,7999785.0,2041348.0,38994886.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,10.070.898,265.115,10.336.013,,,,,,,,,10070898.0,265115.0,10336013.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),3.772.892,-,-,-,-,-,-,-,(3.772.892),-,-,3772892.0,,,,,,,,-3772892.0,,
Chia cổ tức bằng tiền mặt (ii),Chia cổ tức bằng tiền mặt (ii),Chia cổ tức bằng tiền mặt (ii),-,-,-,-,-,-,-,-,(2.515.261),-,(2.515.261),,,,,,,,,-2515261.0,,-2515261.0
Công ty con chia cổ tức trong năm,Công ty con chia cổ tức trong năm,Công ty con chia cổ tức trong năm,-,-,-,-,-,-,-,-,-,(375.000),(375.000),,,,,,,,,,-375000.0,-375000.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,790.110,395.722,25.000,1.210.832,-,(1.210.832),-,-,,,,790110.0,395722.0,25000.0,1210832.0,,-1210832.0,,
"Trích lập Quý khen thưởng, phúc lợi","Trích lập Quý khen thưởng, phúc lợi","Trích lập Quý khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(10.000),-,(10.000),,,,,,,,,-10000.0,,-10000.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(30.316),(30.316),-,-,-,(30.316),,,,,,-30316.0,-30316.0,,,,-30316.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,29.076.321,535.956,(413.448),3.142.201,1.444.109,121.933,4.708.243,89,10.561.698,1.931.463,46.400.322,29076321.0,535956.0,-413448.0,3142201.0,1444109.0,121933.0,4708243.0,89.0,10561698.0,1931463.0,46400322.0
Phát hành cổ phiếu cho người lao động (iii),Phát hành cổ phiếu cho người lao động (iii),Phát hành cổ phiếu cho người lao động (iii),200.000,-,-,-,-,-,-,-,-,-,200.000,200000.0,,,,,,,,,,200000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,12.762.953,484.695,13.247.648,,,,,,,,,12762953.0,484695.0,13247648.0
Chia cổ tức bằng cổ phiếu (iv),Chia cổ tức bằng cổ phiếu (iv),Chia cổ tức bằng cổ phiếu (iv),5.825.102,-,-,-,-,-,-,-,(5.825.102),-,-,5825102.0,,,,,,,,-5825102.0,,
Chia cổ tức bằng tiền mặt (v),Chia cổ tức bằng tiền mặt (v),Chia cổ tức bằng tiền mặt (v),-,-,-,-,-,-,-,-,(2.912.550),-,(2.912.550),,,,,,,,,-2912550.0,,-2912550.0
Công ty con chia cổ tức trong năm,Công ty con chia cổ tức trong năm,Công ty con chia cổ tức trong năm,-,-,-,-,-,-,-,-,-,(250.000),(250.000),,,,,,,,,,-250000.0,-250000.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,1.064.604,533.514,25.000,1.623.118,-,(1.623.118),-,-,,,,1064604.0,533514.0,25000.0,1623118.0,,-1623118.0,,
"Trích lập Quý khen thưởng, phúc lợi","Trích lập Quý khen thưởng, phúc lợi","Trích lập Quý khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(10.000),-,(10.000),,,,,,,,,-10000.0,,-10000.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(18.159),(18.159),-,-,-,(18.159),,,,,,-18159.0,-18159.0,,,,-18159.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,35.101.423,535.956,(413.448),4.206.805,1.977.623,128.774,6.313.202,89,12.953.881,2.166.158,56.657.261,35101423.0,535956.0,-413448.0,4206805.0,1977623.0,128774.0,6313202.0,89.0,12953881.0,2166158.0,56657261.0
