row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 năm đến 5 năm,Đơn vị: Triệu đồng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 năm đến 5 năm,numeric__Đơn vị: Triệu đồng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tải sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,-,3.105.355,-,-,-,-,3.105.355,,,3105355.0,,,,,3105355.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,26.680.270,-,-,-,-,26.680.270,,,26680270.0,,,,,26680270.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,96.382.586,2.060.648,3.157.020,-,-,101.600.254,,,96382586.0,2060648.0,3157020.0,,,101600254.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,21.955.775,-,-,21.955.775,,,,,21955775.0,,,21955775.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.556.231,20.915.070,24.685.732,51.111.466,187.223.325,113.643.803,36.349.214,442.484.841,8556231.0,20915070.0,24685732.0,51111466.0,187223325.0,113643803.0,36349214.0,442484841.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),45.000,-,13.626.938,301.210,6.271.468,8.945.417,19.654.101,48.844.134,45000.0,,13626938.0,301210.0,6271468.0,8945417.0,19654101.0,48844134.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,876.285,876.285,,,,,,,876285.0,876285.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,-,-,644.212,311,10.076,424.468,686.860,1.765.927,,,644212.0,311.0,10076.0,424468.0,686860.0,1765927.0
Tải sản Cơ khác (*),Tải sản > Tải sản Cơ khác (*),Tải sản Cơ khác (*),47.437,-,11.526.927,5.510.810,35.274.101,697.301,3.033.923,56.090.499,47437.0,,11526927.0,5510810.0,35274101.0,697301.0,3033923.0,56090499.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,8.648.668,20.915.070,176.652.020,58.984.445,253.891.765,123.710.989,60.600.383,703.403.340,8648668.0,20915070.0,176652020.0,58984445.0,253891765.0,123710989.0,60600383.0,703403340.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,582,1.211,4.039,9.602,-,15.434,,,582.0,1211.0,4039.0,9602.0,,15434.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,75.063.750,5.598.455,14.676.537,4.121.837,-,99.460.579,,,75063750.0,5598455.0,14676537.0,4121837.0,,99460579.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,106.174.694,68.163.863,241.184.966,21.981.370,272,437.505.165,,,106174694.0,68163863.0,241184966.0,21981370.0,272.0,437505165.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(236.759),76.869,178.339,-,-,18.449,,,-236759.0,76869.0,178339.0,,,18449.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,1.593,73.967,75.654,604.805,2.032.424,2.788.443,,,1593.0,73967.0,75654.0,604805.0,2032424.0,2788443.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.078.847,3.415.199,23.578.378,25.886.212,27.391.108,81.349.744,,,1078847.0,3415199.0,23578378.0,25886212.0,27391108.0,81349744.0
