row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01,01,"Tiền chi mua sắm tài sản cố định (""TSCĐ"")",,(541.148),(273.921),,,-541148.0,-273921.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,1.764,753,,,1764.0,753.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(658.075),-,,,-658075.0,
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,17.375,-,,,17375.0,
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,-,9.325,,,,9325.0
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(1.180.084),(263.843),,,-1180084.0,-263843.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01,01,Tăng vốn từ phát hành cổ phiếu,19.1,200.000,-,,191.0,200000.0,
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 04,04,Cổ tức trả cho cổ đông,19.1,(2.912.550),(2.515.261),,191.0,-2912550.0,-2515261.0
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.712.550),(2.515.261),,,-2712550.0,-2515261.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,4.849.759,77.877.941,,,4849759.0,77877941.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,132.411.767,54.533.826,,,132411767.0,54533826.0
VII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,32,137.261.526,132.411.767,,32.0,137261526.0,132411767.0
Hồ Đăng Hoàng QuyênKế toán trường,Hồ Đăng Hoàng QuyênKế toán trường,Hồ Đăng Hoàng QuyênKế toán trường,Hồ Đăng Hoàng QuyênKế toán trường,Phạm Văn ĐầuGiám đốc tài chính,Ngày 31 tháng 3 năm 2025,Ngày 31 tháng 3 năm 2025,,,,
