row_label_raw,row_label_full,col_0,31.12.2024Triệu đồng,31.12.2023Triệu đồng(*),numeric__31.12.2024Triệu đồng,numeric__31.12.2023Triệu đồng(*)
Của khách hàng:,Của khách hàng:,Của khách hàng:,Của khách hàng:,Của khách hàng:,,
- Bất động sản,Của khách hàng: > - Bất động sản,- Bất động sản,388.639.341,357.224.126,388639341.0,357224126.0
- Giấy tờ có giá,Của khách hàng: > - Giấy tờ có giá,- Giấy tờ có giá,87.864.753,61.228.868,87864753.0,61228868.0
- Phương tiện vận chuyển,Của khách hàng: > - Phương tiện vận chuyển,- Phương tiện vận chuyển,13.747.796,11.611.557,13747796.0,11611557.0
"- Máy móc, thiết bị","Của khách hàng: > - Máy móc, thiết bị","- Máy móc, thiết bị",11.814.167,12.049.601,11814167.0,12049601.0
"- Hàng hóa, nguyên vật liệu","Của khách hàng: > - Hàng hóa, nguyên vật liệu","- Hàng hóa, nguyên vật liệu",2.223.155,5.655.113,2223155.0,5655113.0
- Tài sản khác,Của khách hàng: > - Tài sản khác,- Tài sản khác,201.901.687,259.534.081,201901687.0,259534081.0
,,,706.190.899,707.303.346,706190899.0,707303346.0
Của TCTD:,Của TCTD:,Của TCTD:,Của TCTD:,Của TCTD:,,
- Giấy tờ có giá,Của TCTD: > - Giấy tờ có giá,- Giấy tờ có giá,4.000.000,-,4000000.0,
,,,710.190.899,707.303.346,710190899.0,707303346.0
