row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạnTriệu đồng,Quyền sử dụng đấtkhông thời hạnTriệu đồng,Phần mềmvi tínhTriệu đồng,TSCĐvô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtcó thời hạnTriệu đồng,numeric__Quyền sử dụng đấtkhông thời hạnTriệu đồng,numeric__Phần mềmvi tínhTriệu đồng,numeric__TSCĐvô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,109.626,531.404,427.194,7.963,1.076.187,109626.0,531404.0,427194.0,7963.0,1076187.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.312,80.359,138.560,-,225.231,6312.0,80359.0,138560.0,,225231.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.524),(6.098),(9.622),,,-3524.0,-6098.0,-9622.0
Khác,Nguyên giá > Khác,Khác,-,-,497,(865),(368),,,497.0,-865.0,-368.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,115.938,611.763,562.727,1.000,1.291.428,115938.0,611763.0,562727.0,1000.0,1291428.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,14.372,-,347.029,5.168,366.569,14372.0,,347029.0,5168.0,366569.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.134,-,51.676,574,54.384,2134.0,,51676.0,574.0,54384.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.049),(4.578),(7.627),,,-3049.0,-4578.0,-7627.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,-,443,(813),(370),,,443.0,-813.0,-370.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,16.506,-,396.099,351,412.956,16506.0,,396099.0,351.0,412956.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,95.254,531.404,80.165,2.795,709.618,95254.0,531404.0,80165.0,2795.0,709618.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,99.432,611.763,166.628,649,878.472,99432.0,611763.0,166628.0,649.0,878472.0
