row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Quá hạn,Không chịu lãi suất,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không chịu lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bac, đá quý","Tài sản > Tiền mặt vàng bac, đá quý","Tiền mặt vàng bac, đá quý",-,3.105.355,-,-,-,-,-,-,3.105.355,,3105355.0,,,,,,,3105355.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,26.680.270,-,-,-,-,-,-,26.680.270,,26680270.0,,,,,,,26680270.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,96.382.586,2.060.648,2.020,3.155.000,-,-,101.600.254,,,96382586.0,2060648.0,2020.0,3155000.0,,,101600254.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,382.922,21.572.853,-,-,21.955.775,,,,,382922.0,21572853.0,,,21955775.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),29.471.301,-,73.085.685,179.776.792,57.486.923,91.403.453,11.033.692,226.995,442.484.841,29471301.0,,73085685.0,179776792.0,57486923.0,91403453.0,11033692.0,226995.0,442484841.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),45.000,226.935,13.833.206,1.354.510,3.442.333,7.222.743,3.065.306,19.654.101,48.844.134,45000.0,226935.0,13833206.0,1354510.0,3442333.0,7222743.0,3065306.0,19654101.0,48844134.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,876.285,-,-,-,-,-,-,876.285,,876285.0,,,,,,,876285.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,1.765.927,-,-,-,-,-,-,1.765.927,,1765927.0,,,,,,,1765927.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),47.437,18.585.741,-,3.595.209,2.762.599,31.099.513,-,-,56.090.499,47437.0,18585741.0,,3595209.0,2762599.0,31099513.0,,,56090499.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,29.563.738,51.240.513,183.301.477,186.787.159,64.076.797,154.453.562,14.098.998,19.881.096,703.403.340,29563738.0,51240513.0,183301477.0,186787159.0,64076797.0,154453562.0,14098998.0,19881096.0,703403340.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ va NHNN,Nợ phải trả > Các khoản nợ Chính phủ va NHNN,Các khoản nợ Chính phủ va NHNN,-,-,8.715,183,520,1.041,4.975,-,15.434,,,8715.0,183.0,520.0,1041.0,4975.0,,15434.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,76.335.050,8.420.741,9.847.291,4.574.986,282.511,-,99.460.579,,,76335050.0,8420741.0,9847291.0,4574986.0,282511.0,,99460579.0
