row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2023,Quả hạn > Trên 3 tháng,Quả hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 năm đến 5 năm,Đơn vị: Triệu đồng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quả hạn > Trên 3 tháng,numeric__Quả hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 năm đến 5 năm,numeric__Đơn vị: Triệu đồng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quỹ","Tải sản > Tiền mặt vàng bạc, đá quỹ","Tiền mặt vàng bạc, đá quỹ",-,-,2.810.044,-,-,-,-,2.810.044,,,2810044.0,,,,,2810044.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,41.481.638,-,-,-,-,41.481.638,,,41481638.0,,,,,41481638.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,87.159.871,1.177.700,8.177.292,-,-,96.514.863,,,87159871.0,1177700.0,8177292.0,,,96514863.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,4.403.015,14.177.917,-,-,18.580.932,,,,4403015.0,14177917.0,,,18580932.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,31.471,85.123,(8.115),1.600,-,110.079,,,31471.0,85123.0,-8115.0,1600.0,,110079.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),6.159.963,18.005.407,24.895.393,40.554.943,121.738.537,95.078.943,36.971.109,343.404.295,6159963.0,18005407.0,24895393.0,40554943.0,121738537.0,95078943.0,36971109.0,343404295.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),45.000,2.484.995,1.932.172,9.088.619,6.658.372,8.526.130,15.441.273,44.176.561,45000.0,2484995.0,1932172.0,9088619.0,6658372.0,8526130.0,15441273.0,44176561.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,163.921,163.921,,,,,,,163921.0,163921.0
TSCĐ,Tải sản > TSCĐ,TSCĐ,-,-,563.851,162,14.639,284.403,559.704,1.422.759,,,563851.0,162.0,14639.0,284403.0,559704.0,1422759.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),46.799,-,15.239.520,7.644.073,31.093.144,790.524,3.041.097,57.855.157,46799.0,,15239520.0,7644073.0,31093144.0,790524.0,3041097.0,57855157.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,6.251.762,20.490.402,174.113.960,62.953.635,181.851.786,104.681.600,56.177.104,606.520.249,6251762.0,20490402.0,174113960.0,62953635.0,181851786.0,104681600.0,56177104.0,606520249.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,3.273,451,5.976,16.890,-,26.590,,,3273.0,451.0,5976.0,16890.0,,26590.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,66.975.915,10.008.710,30.256.443,4.845.910,-,112.086.978,,,66975915.0,10008710.0,30256443.0,4845910.0,,112086978.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,93.599.515,70.863.590,197.862.495,8.452.287,1,370.777.888,,,93599515.0,70863590.0,197862495.0,8452287.0,1.0,370777888.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,70.604,70.604,564.931,2.104.990,2.811.129,,,,70604.0,70604.0,564931.0,2104990.0,2811129.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,4.040.000,9.320.000,9.033.806,16.925.031,11.619.311,50.938.148,,,4040000.0,9320000.0,9033806.0,16925031.0,11619311.0,50938148.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,9.916.279,3.865.045,5.153.596,338.600,284,19.273.804,,,9916279.0,3865045.0,5153596.0,338600.0,284.0,19273804.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,174.534.982,94.128.400,242.382.920,31.143.649,13.724.586,555.914.537,,,174534982.0,94128400.0,242382920.0,31143649.0,13724586.0,555914537.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,6.251.762,20.490.402,(421.022),(31.174.765),(60.531.134),73.537.951,42.452.518,50.605.712,6251762.0,20490402.0,-421022.0,-31174765.0,-60531134.0,73537951.0,42452518.0,50605712.0
