row_label_raw,row_label_full,col_0,Tại ngày 31.12.2023,Tại ngày 31.12.2023_1,Tại ngày 31.12.2023_2,Tại ngày 31.12.2023_3,Tại ngày 31.12.2023_4,Tại ngày 31.12.2023_5,Đơn vị: Triệu đồng,numeric__Tại ngày 31.12.2023,numeric__Tại ngày 31.12.2023_1,numeric__Tại ngày 31.12.2023_2,numeric__Tại ngày 31.12.2023_3,numeric__Tại ngày 31.12.2023_4,numeric__Tại ngày 31.12.2023_5,numeric__Đơn vị: Triệu đồng
,,,Tiền gửi và cho vay các TCTD khác,Chứng khoán kinh doanh,Các công cụ tài chính phải sinh,Cho vay khách hàng,Chứng khoán đầu tư,Các tài sản tài chính khác,Tổng cộng,,,,,,,
Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,96.514.863,18.580.932,110.079,316.903.432,24.034.975,52.500.121,508.644.402,96514863.0,18580932.0,110079.0,316903432.0,24034975.0,52500121.0,508644402.0
Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,-,-,-,10.750.454,2.484.995,-,13.235.449,,,,10750454.0,2484995.0,,13235449.0
Bị giảm giá,Bị giảm giá,Bị giảm giá,-,-,-,15.750.409,45.000,46.799,15.842.208,,,,15750409.0,45000.0,46799.0,15842208.0
,,,96.514.863,18.580.932,110.079,343.404.295,26.564.970,52.546.920,537.722.059,96514863.0,18580932.0,110079.0,343404295.0,26564970.0,52546920.0,537722059.0
Trừ: dự phòng rủi ro,Trừ: dự phòng rủi ro,Trừ: dự phòng rủi ro,,,,,,,,,,,,,,
Dự phòng chung,Trừ: dự phòng rủi ro > Dự phòng chung,Dự phòng chung,-,-,-,(2.563.216),(75.272),-,(2.638.488),,,,-2563216.0,-75272.0,,-2638488.0
Dự phòng cụ thể,Trừ: dự phòng rủi ro > Dự phòng cụ thể,Dự phòng cụ thể,-,-,-,(1.491.241),(9.000),-,(1.500.241),,,,-1491241.0,-9000.0,,-1500241.0
Dự phòng rủi ro khác,Trừ: dự phòng rủi ro > Dự phòng rủi ro khác,Dự phòng rủi ro khác,-,-,-,-,-,(46.521),(46.521),,,,,,-46521.0,-46521.0
,,,-,-,-,(4.054.457),(84.272),(46.521),(4.185.250),,,,-4054457.0,-84272.0,-46521.0,-4185250.0
Giá trị thuần,Trừ: dự phòng rủi ro > Giá trị thuần,Giá trị thuần,96.514.863,18.580.932,110.079,339.349.838,26.480.698,52.500.399,533.536.809,96514863.0,18580932.0,110079.0,339349838.0,26480698.0,52500399.0,533536809.0
