row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị, dụngcụ quản lýTriệu đồng",TSCĐ hữuhình khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị, dụngcụ quản lýTriệu đồng",numeric__TSCĐ hữuhình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giả > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,511.622,366.248,426.796,377.505,20.615,1.702.786,511622.0,366248.0,426796.0,377505.0,20615.0,1702786.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,82.684,127.173,54.510,42.577,8.973,315.917,82684.0,127173.0,54510.0,42577.0,8973.0,315917.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(527),(24.132),(3.734),(6.276),(80),(34.749),-527.0,-24132.0,-3734.0,-6276.0,-80.0,-34749.0
Khác,Nguyên giả > Khác,Khác,-,-,-,(454),-,(454),,,,-454.0,,-454.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giả > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,593.779,469.289,477.572,413.352,29.508,1.983.500,593779.0,469289.0,477572.0,413352.0,29508.0,1983500.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,158.733,207.824,280.975,328.737,13.376,989.645,158733.0,207824.0,280975.0,328737.0,13376.0,989645.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.859,41.561,48.889,25.770,2.665,140.744,21859.0,41561.0,48889.0,25770.0,2665.0,140744.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(527),(24.132),(3.173),(5.978),(80),(33.890),-527.0,-24132.0,-3173.0,-5978.0,-80.0,-33890.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,-,-,(454),-,(454),,,,-454.0,,-454.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,180.065,225.253,326.691,348.075,15.961,1.096.045,180065.0,225253.0,326691.0,348075.0,15961.0,1096045.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,352.889,158.424,145.821,48.768,7.239,713.141,352889.0,158424.0,145821.0,48768.0,7239.0,713141.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,413.714,244.036,150.881,65.277,13.547,887.455,413714.0,244036.0,150881.0,65277.0,13547.0,887455.0
