row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024Triệu đồng,Tại ngày > 31.12.2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024Triệu đồng,numeric__Tại ngày > 31.12.2023Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,3.105.355,2.810.044,,3.0,3105355.0,2810044.0
II,A > II,II,Tiền gửi tại NHNN,4,26.680.270,41.481.638,,4.0,26680270.0,41481638.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",,101.600.254,96.514.863,,,101600254.0,96514863.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,94.225.901,88.120.085,,51.0,94225901.0,88120085.0
2,A > 2,2,Cho vay các TCTD khác,5.2,7.374.353,8.394.778,,52.0,7374353.0,8394778.0
IV,A > IV,IV,Chứng khoán kinh doanh,,21.955.775,18.580.932,,,21955775.0,18580932.0
1,A > 1,1,Chứng khoán kinh doanh,6.1,21.955.775,18.580.932,,61.0,21955775.0,18580932.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,-,110.079,,7.0,,110079.0
VI,A > VI,VI,Cho vay khách hàng,8,436.606.237,339.349.838,,8.0,436606237.0,339349838.0
1,A > 1,1,Cho vay khách hàng,,442.484.841,343.404.295,,,442484841.0,343404295.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(5.878.604),(4.054.457),,,-5878604.0,-4054457.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,48.751.284,44.092.289,,,48751284.0,44092289.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,31.407.524,31.871.688,,91.0,31407524.0,31871688.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,9.2,17.436.610,12.304.873,,92.0,17436610.0,12304873.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.6,(92.850),(84.272),,96.0,-92850.0,-84272.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,857.783,143.781,,10.0,857783.0,143781.0
3,A > 3,3,Đầu tư vào công ty liên kết,,729.739,-,,,729739.0,
4,A > 4,4,Đầu tư dài hạn khác,,146.546,163.921,,,146546.0,163921.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(18.502),(20.140),,,-18502.0,-20140.0
X,A > X,X,Tài sản cố định,,1.765.927,1.422.759,,,1765927.0,1422759.0
1,A > 1,1,Tài sản cố định hữu hình,11.1,887.455,713.141,,111.0,887455.0,713141.0
a,A > a,a,Nguyễn giá,,1.983.500,1.702.786,,,1983500.0,1702786.0
b,A > b,b,Giá trị khấu hao lũy kế,,(1.096.045),(989.645),,,-1096045.0,-989645.0
3,A > 3,3,Tài sản cố định vô hình,11.2,878.472,709.618,,112.0,878472.0,709618.0
a,A > a,a,Nguyễn giá,,1.291.428,1.076.187,,,1291428.0,1076187.0
b,A > b,b,Giá trị khấu hao lũy kế,,(412.956),(366.569),,,-412956.0,-366569.0
XII,A > XII,XII,Tài sản Có khác,,56.043.573,57.808.636,,,56043573.0,57808636.0
1,A > 1,1,Các khoản phải thu,12.1,48.316.273,48.942.933,,121.0,48316273.0,48942933.0
2,A > 2,2,"Các khoản lãi, phí phải thu",12.2,5.383.522,6.602.101,,122.0,5383522.0,6602101.0
3,A > 3,3,"Tài sản thuế thu nhập doanh nghiệp (""TNDN"") hoãn lại",31,155.916,76.708,,31.0,155916.0,76708.0
4,A > 4,4,Tài sản Có khác,12.3,2.234.788,2.233.415,,123.0,2234788.0,2233415.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(46.926),(46.521),,,-46926.0,-46521.0
,,,TỔNG TÀI SẢN,,697.366.458,602.314.859,,,697366458.0,602314859.0
