row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,numeric__Tập đoàn,numeric__Tập đoàn_1
,,,31/12/2015Triệu VND,1/1/2015Triệu VND,,
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,
Chiết khấu hàng bán phải trả,Tài sản thuế thu nhập hoãn lại: > Chiết khấu hàng bán phải trả,Chiết khấu hàng bán phải trả,74.263,12.770,74263.0,12770.0
Chi phí quảng cáo khuyến mại phải trả,Tài sản thuế thu nhập hoãn lại: > Chi phí quảng cáo khuyến mại phải trả,Chi phí quảng cáo khuyến mại phải trả,109.127,71.916,109127.0,71916.0
Chi phí vận chuyển phải trả,Tài sản thuế thu nhập hoãn lại: > Chi phí vận chuyển phải trả,Chi phí vận chuyển phải trả,8.352,19.116,8352.0,19116.0
Chi phí phải trả khác,Tài sản thuế thu nhập hoãn lại: > Chi phí phải trả khác,Chi phí phải trả khác,16.799,9.988,16799.0,9988.0
Lợi nhuận chưa thực hiện đối với các giao dịch nội bộ,Tài sản thuế thu nhập hoãn lại: > Lợi nhuận chưa thực hiện đối với các giao dịch nội bộ,Lợi nhuận chưa thực hiện đối với các giao dịch nội bộ,5.196,3.701,5196.0,3701.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,213.737,117.491,213737.0,117491.0
Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,,
Tài sản cố định hữu hình,Thuế thu nhập hoãn lại phải trả: > Tài sản cố định hữu hình,Tài sản cố định hữu hình,(759.684),(749.161),-759684.0,-749161.0
Tài sản cố định vô hình,Thuế thu nhập hoãn lại phải trả: > Tài sản cố định vô hình,Tài sản cố định vô hình,(933.069),(183.626),-933069.0,-183626.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,(1.692.753),(932.787),-1692753.0,-932787.0
,,,(1.479.016),(815.296),-1479016.0,-815296.0
