row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2015,Cho vay và phải thu Triệu VND,Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND,Tổng giá trị ghi số Triệu VND,numeric__Cho vay và phải thu Triệu VND,numeric__Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND,numeric__Tổng giá trị ghi số Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.166.415,-,5.166.415,5166415.0,,5166415.0
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,4.042.212,-,4.042.212,4042212.0,,4042212.0
Phải thu khách hàng – ngắn hạn – thuần,Phải thu khách hàng – ngắn hạn – thuần,Phải thu khách hàng – ngắn hạn – thuần,4.344.934,-,4.344.934,4344934.0,,4344934.0
Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,527.770,-,527.770,527770.0,,527770.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,1.447.633,-,1.447.633,1447633.0,,1447633.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,144.050,-,144.050,144050.0,,144050.0
,,,15.673.014,-,15.673.014,15673014.0,,15673014.0
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,-,(999.340),(999.340),,-999340.0,-999340.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,-,(258),(258),,-258.0,-258.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,(1.862.531),(1.862.531),,-1862531.0,-1862531.0
Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,-,(1.866.738),(1.866.738),,-1866738.0,-1866738.0
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",-,(5.329.971),(5.329.971),,-5329971.0,-5329971.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,-,(177.901),(177.901),,-177901.0,-177901.0
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",-,(18.234.277),(18.234.277),,-18234277.0,-18234277.0
,,,-,(28.471.016),(28.471.016),,-28471016.0,-28471016.0
