row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Tập đoàn_2,Tập đoàn_3,Tập đoàn_4,Tập đoàn_5,Tập đoàn_6,Công ty,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Tập đoàn_2,numeric__Tập đoàn_3,numeric__Tập đoàn_4,numeric__Tập đoàn_5,numeric__Tập đoàn_6,numeric__Công ty
,,,USD,EUR,AUD,SGD,THB,CNY,GBP,USD,,,,,,,,
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,,,,,,
Tiền và các khoản tương đương tiền,Ngày 31 tháng 12 năm 2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,13.425.909,1.378,-,358,-,-,-,4.467,13425909.0,1378.0,,358.0,,,,4467.0
Phải thu khách hàng và phải thu khác (*),Ngày 31 tháng 12 năm 2015 > Phải thu khách hàng và phải thu khác (*),Phải thu khách hàng và phải thu khác (*),10.171.593,-,-,399.418,-,-,-,867.000,10171593.0,,,399418.0,,,,867000.0
Phải trả người bán và phải trả khác (**),Ngày 31 tháng 12 năm 2015 > Phải trả người bán và phải trả khác (**),Phải trả người bán và phải trả khác (**),(18.183.910),(1.974.736),(4.275.560),(501.485),(11.289.906),(1.955.251),(8.765),-,-18183910.0,-1974736.0,-4275560.0,-501485.0,-11289906.0,-1955251.0,-8765.0,
"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Ngày 31 tháng 12 năm 2015 > Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn",(25.114.736),-,-,-,-,-,-,-,-25114736.0,,,,,,,
Các khoản nợ dài hạn khác,Ngày 31 tháng 12 năm 2015 > Các khoản nợ dài hạn khác,Các khoản nợ dài hạn khác,(1.166.237),-,-,-,-,-,-,(30.000),-1166237.0,,,,,,,-30000.0
,,,(20.867.381),(1.973.358),(4.275.560),(101.709),(11.289.906),(1.955.251),(8.765),841.467,-20867381.0,-1973358.0,-4275560.0,-101709.0,-11289906.0,-1955251.0,-8765.0,841467.0
,,,Tập đoàn,Tập đoàn,Tập đoàn,Tập đoàn,Tập đoàn,Tập đoàn,Tập đoàn,Công ty,,,,,,,,
,,,USD,EUR,AUD,SGD,THB,CNY,,USD,,,,,,,,
Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,,,,,,,,
Tiền và các khoản tương đương tiền,Ngày 1 tháng 1 năm 2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,9.141.772,179.401,-,-,-,-,-,7.064,9141772.0,179401.0,,,,,,7064.0
Phải thu khách hàng và phải thu khác (*),Ngày 1 tháng 1 năm 2015 > Phải thu khách hàng và phải thu khác (*),Phải thu khách hàng và phải thu khác (*),18.276.662,-,-,-,-,-,-,-,18276662.0,,,,,,,
Phải trả người bán và phải trả khác (**),Ngày 1 tháng 1 năm 2015 > Phải trả người bán và phải trả khác (**),Phải trả người bán và phải trả khác (**),(3.805.647),(3.003.750),(1.200.202),(138.555),(3.380.904),,(1.955.251),(302.466),-3805647.0,-3003750.0,-1200202.0,-138555.0,-3380904.0,,-1955251.0,-302466.0
Chỉ phí phải trả,Ngày 1 tháng 1 năm 2015 > Chỉ phí phải trả,Chỉ phí phải trả,(2.631.637),-,-,-,-,-,-,-,-2631637.0,,,,,,,
Vay ngắn hạn,Ngày 1 tháng 1 năm 2015 > Vay ngắn hạn,Vay ngắn hạn,(52.283.698),-,-,-,-,-,-,-,-52283698.0,,,,,,,
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Ngày 1 tháng 1 năm 2015 > Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",(175.000.000),-,-,-,-,-,-,-,-175000000.0,,,,,,,
Các khoản nợ dài hạn khác,Ngày 1 tháng 1 năm 2015 > Các khoản nợ dài hạn khác,Các khoản nợ dài hạn khác,-,-,-,-,-,-,-,(700.000),,,,,,,,-700000.0
,,,(206.302.548),(2.824.349),(1.200.202),(138.555),(3.380.904),,(1.955.251),(995.402),-206302548.0,-2824349.0,-1200202.0,-138555.0,-3380904.0,,-1955251.0,-995402.0
