row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Cho vay và phải thu Triệu VND,Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND,Tổng giá trị ghi số Triệu VND,numeric__Cho vay và phải thu Triệu VND,numeric__Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND,numeric__Tổng giá trị ghi số Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,8.324.476,-,8.324.476,8324476.0,,8324476.0
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,293.990,-,293.990,293990.0,,293990.0
Phải thu khách hàng – ngắn hạn – thuần (*),Phải thu khách hàng – ngắn hạn – thuần (*),Phải thu khách hàng – ngắn hạn – thuần (*),849.541,-,849.541,849541.0,,849541.0
Phải thu ngắn hạn về cho vay,Phải thu ngắn hạn về cho vay,Phải thu ngắn hạn về cho vay,762.400,-,762.400,762400.0,,762400.0
Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,641.598,-,641.598,641598.0,,641598.0
Phải thu dài hạn về cho vay,Phải thu dài hạn về cho vay,Phải thu dài hạn về cho vay,8.563.114,-,8.563.114,8563114.0,,8563114.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,1.869.025,-,1.869.025,1869025.0,,1869025.0
,,,21.304.144,-,21.304.144,21304144.0,,21304144.0
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,-,(2.419.059),(2.419.059),,-2419059.0,-2419059.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,-,(257.716),(257.716),,-257716.0,-257716.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,(2.875.921),(2.875.921),,-2875921.0,-2875921.0
Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,-,(337.912),(337.912),,-337912.0,-337912.0
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",-,(8.366.625),(8.366.625),,-8366625.0,-8366625.0
Phải trả người bán – dài hạn,Phải trả người bán – dài hạn,Phải trả người bán – dài hạn,-,(75.845),(75.845),,-75845.0,-75845.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,-,(97.813),(97.813),,-97813.0,-97813.0
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",-,(27.253.112),(27.253.112),,-27253112.0,-27253112.0
,,,-,(41.684.003),(41.684.003),,-41684003.0,-41684003.0
