row_label_raw,row_label_full,col_0,Chi phí vayTriệu VND,Chi phí khácTriệu VND,TổngTriệu VND,numeric__Chi phí vayTriệu VND,numeric__Chi phí khácTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,35.969,6.319,42.288,35969.0,6319.0,42288.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,212,212,,212.0,212.0
Chuyển sang vay dài hạn và nợ thuê tài chính,Chuyển sang vay dài hạn và nợ thuê tài chính,Chuyển sang vay dài hạn và nợ thuê tài chính,(35.279),-,(35.279),-35279.0,,-35279.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(690),(2.736),(3.426),-690.0,-2736.0,-3426.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,3.795,3.795,,3795.0,3795.0
