row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Tập đoàn_2,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Tập đoàn_2,numeric__Công ty,numeric__Công ty_1
,,,Thuyết minh,31/12/2015 Triệu VND,1/1/2015 Triệu VND,31/12/2015 Triệu VND,1/1/2015 Triệu VND,,,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,(ii),8.316.097,5.164.983,1.103.509,517.127,,8316097.0,5164983.0,1103509.0,517127.0
Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,(ii),293.990,4.042.212,287.890,239.614,,293990.0,4042212.0,287890.0,239614.0
Phải thu khách hàng – ngắn hạn – thuần,Phải thu khách hàng – ngắn hạn – thuần,Phải thu khách hàng – ngắn hạn – thuần,(iii),849.541,4.344.934,19.421,3.072.190,,849541.0,4344934.0,19421.0,3072190.0
Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,(iv),762.400,-,-,2.172.320,,762400.0,,,2172320.0
Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,(iii),641.598,527.770,157.171,1.041.652,,641598.0,527770.0,157171.0,1041652.0
Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,(iv),8.563.114,-,4.773.374,2.283.927,,8563114.0,,4773374.0,2283927.0
Phải thu khác – dài hạn,Phải thu khác – dài hạn,Phải thu khác – dài hạn,(iii),1.869.025,1.447.633,3.134.984,2.741.703,,1869025.0,1447633.0,3134984.0,2741703.0
Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,(ii),-,144.050,-,-,,,144050.0,,
Đảm bảo đã phát hành,Đảm bảo đã phát hành,Đảm bảo đã phát hành,,-,65.884,-,-,,,65884.0,,
,,,,21.295.765,15.737.466,9.476.349,12.068.533,,21295765.0,15737466.0,9476349.0,12068533.0
