row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2015Triệu VND,Tập đoàn > 2014Triệu VNDPhân loại lại,Công ty > 2015Triệu VND,Công ty > 2014Triệu VNDPhân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2015Triệu VND,numeric__Tập đoàn > 2014Triệu VNDPhân loại lại,numeric__Công ty > 2015Triệu VND,numeric__Công ty > 2014Triệu VNDPhân loại lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,27,31.324.871,16.377.834,-,-,1.0,27.0,31324871.0,16377834.0,,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,27,696.461,257.940,-,-,2.0,27.0,696461.0,257940.0,,
Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),10,27,30.628.410,16.119.894,-,-,10.0,27.0,30628410.0,16119894.0,,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,28,20.819.786,9.703.190,-,-,11.0,28.0,20819786.0,9703190.0,,
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,9.808.624,6.416.704,-,-,20.0,,9808624.0,6416704.0,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,1.382.303,1.570.967,678.580,4.259.505,21.0,29.0,1382303.0,1570967.0,678580.0,4259505.0
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,22,30,2.714.701,1.710.991,626.779,922.574,22.0,30.0,2714701.0,1710991.0,626779.0,922574.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,2.425.305,1.464.722,623.115,909.287,23.0,,2425305.0,1464722.0,623115.0,909287.0
Lãi/(lỗ) từ các công ty liên kết,Lãi/(lỗ) từ các công ty liên kết,Lãi/(lỗ) từ các công ty liên kết,24,31,499.017,(53.061),-,-,24.0,31.0,499017.0,-53061.0,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,32,4.044.357,2.672.111,-,-,25.0,32.0,4044357.0,2672111.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,33,1.664.517,1.048.358,583.219,106.550,26.0,33.0,1664517.0,1048358.0,583219.0,106550.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,3.266.369,2.503.150,(531.418),3.230.381,30.0,,3266369.0,2503150.0,-531418.0,3230381.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,34,34.513,305.437,9.113,8.443,31.0,34.0,34513.0,305437.0,9113.0,8443.0
Chi phí khác,Chi phí khác,Chi phí khác,32,35,74.153,68.856,50,1.433,32.0,35.0,74153.0,68856.0,50.0,1433.0
(Lỗ)/ lợi nhuận khác (40 = 31 - 32),(Lỗ)/ lợi nhuận khác (40 = 31 - 32),(Lỗ)/ lợi nhuận khác (40 = 31 - 32),40,,(39.640),236.581,9.063,7.010,40.0,,-39640.0,236581.0,9063.0,7010.0
Lợi nhuận/(lỗ) kế toán trước thuế(50 = 30 + 40) (mang sang trang sau),Lợi nhuận/(lỗ) kế toán trước thuế(50 = 30 + 40) (mang sang trang sau),Lợi nhuận/(lỗ) kế toán trước thuế(50 = 30 + 40) (mang sang trang sau),50,,3.226.729,2.739.731,(522.355),3.237.391,50.0,,3226729.0,2739731.0,-522355.0,3237391.0
