row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm muaTriệu VND,Các điều chỉnh giá trị hợp lýTriệu VND,Giá trị ghi nhận tại thời điểm muaTriệu VND,numeric__Giá trị ghi số trước thời điểm muaTriệu VND,numeric__Các điều chỉnh giá trị hợp lýTriệu VND,numeric__Giá trị ghi nhận tại thời điểm muaTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,88.102,-,88.102,88102.0,,88102.0
Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,2.010,-,2.010,2010.0,,2010.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,28.550,-,28.550,28550.0,,28550.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.800,-,1.800,1800.0,,1800.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,37.555,(6.940),30.615,37555.0,-6940.0,30615.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,17.822,148.676,166.498,17822.0,148676.0,166498.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,35.936,-,35.936,35936.0,,35936.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(114.449),-,(114.449),-114449.0,,-114449.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,(12.478),-,(12.478),-12478.0,,-12478.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(4.672),-,(4.672),-4672.0,,-4672.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(28.347),(28.347),,-28347.0,-28347.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,80.176,113.389,193.565,80176.0,113389.0,193565.0
Tài sản thuần inua được,Tài sản thuần inua được,Tài sản thuần inua được,,,125.817,,,125817.0
Lợi thế thương mại phát sinh từ việc inua lại(Thuyết minh 17),Lợi thế thương mại phát sinh từ việc inua lại(Thuyết minh 17),Lợi thế thương mại phát sinh từ việc inua lại(Thuyết minh 17),,,14.373,,,14373.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,140.190,,,140190.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(88.102),,,-88102.0
Phải trả cho việc cổ phần hóa (Thuyết minh 20),Phải trả cho việc cổ phần hóa (Thuyết minh 20),Phải trả cho việc cổ phần hóa (Thuyết minh 20),,,81.605,,,81605.0
Chi phí trích trước cho việc cổ phần hóa,Chi phí trích trước cho việc cổ phần hóa,Chi phí trích trước cho việc cổ phần hóa,,,(77.790),,,-77790.0
Tiền thuần chi ra,Tiền thuần chi ra,Tiền thuần chi ra,,,55.903,,,55903.0
