row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Chi phí trước hoạt động Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,"Trực in, công cụ và dụng cụ Triệu VND",Lợi thế thương mại từ vốn hóa Triệu VND,Chi phí vay Triệu VND,Phi thu xếp Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Khác Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Chi phí trước hoạt động Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,"numeric__Trực in, công cụ và dụng cụ Triệu VND",numeric__Lợi thế thương mại từ vốn hóa Triệu VND,numeric__Chi phí vay Triệu VND,numeric__Phi thu xếp Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,284.985,2.171,632.994,12.480,-,230.665,155.379,35.927,14.991,1.369.592,,284985.0,2171.0,632994.0,12480.0,,230665.0,155379.0,35927.0,14991.0,1369592.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,145.824,-,33.974,6.425,19.609,-,-,-,-,2.757,208.589,145824.0,,33974.0,6425.0,19609.0,,,,,2757.0,208589.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 6),Tăng từ hợp nhất kinh doanh (Thuyết minh 6),Tăng từ hợp nhất kinh doanh (Thuyết minh 6),-,-,93.572,-,19.705,31.344,-,-,-,12.858,157.479,,,93572.0,,19705.0,31344.0,,,,12858.0,157479.0
Chuyển từ/(sang) xây dựng cơ bản đó dang,Chuyển từ/(sang) xây dựng cơ bản đó dang,Chuyển từ/(sang) xây dựng cơ bản đó dang,21.210,8.376,-,-,31.125,-,-,-,(43.366),529,17.874,21210.0,8376.0,,,31125.0,,,,-43366.0,529.0,17874.0
Chuyển từ/(sang) tài sản cố định hữu hình,Chuyển từ/(sang) tài sản cố định hữu hình,Chuyển từ/(sang) tài sản cố định hữu hình,739.969,-,-,-,(801),-,-,-,-,-,739.168,739969.0,,,,-801.0,,,,,,739168.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,44.187,-,-,-,-,-,-,-,44.187,,,44187.0,,,,,,,,44187.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,-,-,-,2.624,-,-,-,-,-,2.624,,,,,2624.0,,,,,,2624.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(12.291),(19.630),(3.399),(33.026),(34.384),-,(690),(155.379),-,(7.356),(266.155),-12291.0,-19630.0,-3399.0,-33026.0,-34384.0,,-690.0,-155379.0,,-7356.0,-266155.0
Phân loại lại,Phân loại lại,Phân loại lại,218.749,(226.188),-,-,-,-,-,-,7.439,-,-,218749.0,-226188.0,,,,,,,7439.0,,
Chuyển sang vay dài hạn và nợ thuê tài chính,Chuyển sang vay dài hạn và nợ thuê tài chính,Chuyển sang vay dài hạn và nợ thuê tài chính,-,-,-,-,-,-,(229.975),-,-,-,(229.975),,,,,,,-229975.0,,,,-229975.0
Thanh lý,Thanh lý,Thanh lý,-,-,-,-,(761),-,-,-,-,-,(761),,,,,-761.0,,,,,,-761.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.113.461,47.543,170.505,606.393,49.597,31.344,-,-,-,23.779,2.042.622,1113461.0,47543.0,170505.0,606393.0,49597.0,31344.0,,,,23779.0,2042622.0
