row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Địa chỉ,Tỷ lệ lợi ích kinh tế tại,Tỷ lệ lợi ích kinh tế tại_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích kinh tế tại,numeric__Tỷ lệ lợi ích kinh tế tại_1
STT,STT,STT,Tên công ty,Hoạt động chính,Địa chỉ,31/12/2015,1/1/2015,,,,,
1,STT > 1,1,Công ty TNHH MasanConsumerHoldings (“MCH”),Tư vấn quản lý,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","100,0%","100,0%",,,,1.0,1.0
2,STT > 2,2,Công ty Cổ Phần Tầm Nhìn Masan (“MH”) (trước đây là Công ty Cổ Phần Tầm Nhìn Ma SaN),Tư vấn quản lý,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","99,9%","99,9%",,,,0.9990000000000001,0.9990000000000001
3,STT > 3,3,Công ty TNHH Masan Nutri-Science (“MNS”) (trước đây là Công ty TNHH Sam Kim) (i),Tư vấn quản lý,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","99,9%",-,,,,0.9990000000000001,
