row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2015 Triệu VND,Tập đoàn > 2014 Triệu VND,Công ty > 2015 Triệu VND,Công ty > 2014 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2015 Triệu VND,numeric__Tập đoàn > 2014 Triệu VND,numeric__Công ty > 2015 Triệu VND,numeric__Công ty > 2014 Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,
Lợi nhuận/(lỗ) kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận/(lỗ) kế toán trước thuế Điều chỉnh cho các khoản,01,,3.226.729,2.739.731,(522.355),3.237.391,1.0,,3226729.0,2739731.0,-522355.0,3237391.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.814.926,1.120.817,5.957,12.185,2.0,,1814926.0,1120817.0,5957.0,12185.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,144.193,64.376,-,-,3.0,,144193.0,64376.0,,
Chênh lệch tỷ giá chưa thực hiện thuần,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chênh lệch tỷ giá chưa thực hiện thuần,Chênh lệch tỷ giá chưa thực hiện thuần,04,,17.866,49.068,780,(121),4.0,,17866.0,49068.0,780.0,-121.0
Lãi từ các hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,,(1.798.838),(1.456.863),(676.758),(4.255.696),5.0,,-1798838.0,-1456863.0,-676758.0,-4255696.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,2.425.305,1.464.722,623.115,909.287,6.0,,2425305.0,1464722.0,623115.0,909287.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,5.830.181,3.981.851,(569.261),(96.954),8.0,,5830181.0,3981851.0,-569261.0,-96954.0
Giảm/(tăng) các khoản phải thu và tài sản khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Giảm/(tăng) các khoản phải thu và tài sản khác,Giảm/(tăng) các khoản phải thu và tài sản khác,09,,89.060,(202.202),537.162,(1.510.445),9.0,,89060.0,-202202.0,537162.0,-1510445.0
Giảm/(tăng) hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Giảm/(tăng) hàng tồn kho,Giảm/(tăng) hàng tồn kho,10,,283.372,(609.978),-,-,10.0,,283372.0,-609978.0,,
