row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2015,Cho vay và phải thu Triệu VND > Ngày 1 tháng 1 năm 2015,Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND > Ngày 1 tháng 1 năm 2015,Tổng giá trị ghi số Triệu VND > Ngày 1 tháng 1 năm 2015,numeric__Cho vay và phải thu Triệu VND > Ngày 1 tháng 1 năm 2015,numeric__Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND > Ngày 1 tháng 1 năm 2015,numeric__Tổng giá trị ghi số Triệu VND > Ngày 1 tháng 1 năm 2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,517.251,-,517.251,517251.0,,517251.0
Dầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Dầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Dầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,239.614,-,239.614,239614.0,,239614.0
Phải thu khách hàng và phải thu khác – ngắn hạn (*),Phải thu khách hàng và phải thu khác – ngắn hạn (*),Phải thu khách hàng và phải thu khác – ngắn hạn (*),4.113.842,-,4.113.842,4113842.0,,4113842.0
Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,2.172.320,-,2.172.320,2172320.0,,2172320.0
Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,2.283.927,-,2.283.927,2283927.0,,2283927.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,2.741.703,-,2.741.703,2741703.0,,2741703.0
,,,12.068.657,-,12.068.657,12068657.0,,12068657.0
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,-,(1.451),(1.451),,-1451.0,-1451.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,(215.239),(215.239),,-215239.0,-215239.0
Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,-,(1.555.324),(1.555.324),,-1555324.0,-1555324.0
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",-,(567.960),(567.960),,-567960.0,-567960.0
Nợ phải trả dài hạn khác,Nợ phải trả dài hạn khác,Nợ phải trả dài hạn khác,-,(75.141),(75.141),,-75141.0,-75141.0
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",-,(4.700.000),(4.700.000),,-4700000.0,-4700000.0
,,,-,(7.115.115),(7.115.115),,-7115115.0,-7115115.0
