row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Tập đoàn_2,Tập đoàn_3,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Tập đoàn_2,numeric__Tập đoàn_3,numeric__Công ty,numeric__Công ty_1
,,,Mã số,Thuyết minh,31/12/2015 Triệu VND,1/1/2015Triệu VNDPhân loại lại,31/12/2015Triệu VND,1/1/2015Triệu VNDPhân loại lại,,,,,,
Tài sản dài hạn(\( 200 = 210 + 220 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 240 + 250 + 260 \)),200,,55.140.227,36.536.773,22.431.116,17.399.699,200.0,,55140227.0,36536773.0,22431116.0,17399699.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,9,10.432.139,1.447.633,7.908.358,5.025.630,210.0,9.0,10432139.0,1447633.0,7908358.0,5025630.0
Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,215,,8.563.114,-,4.773.374,2.283.927,215.0,,8563114.0,,4773374.0,2283927.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,1.869.025,1.447.633,3.134.984,2.741.703,216.0,,1869025.0,1447633.0,3134984.0,2741703.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,26.998.134,20.253.476,3.626,9.443,220.0,,26998134.0,20253476.0,3626.0,9443.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,11,19.965.062,18.409.913,2.429,7.172,221.0,11.0,19965062.0,18409913.0,2429.0,7172.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,22.597.132,19.887.100,20.899,20.759,222.0,,22597132.0,19887100.0,20899.0,20759.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(2.632.070),(1.477.187),(18.470),(13.587),223.0,,-2632070.0,-1477187.0,-18470.0,-13587.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,12,31.407,44.867,-,-,224.0,12.0,31407.0,44867.0,,
Nguyên giá,Nguyên giá,Nguyên giá,225,,67.300,67.300,-,-,225.0,,67300.0,67300.0,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(35.893),(22.433),-,-,226.0,,-35893.0,-22433.0,,
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,7.001.665,1.798.696,1.197,2.271,227.0,13.0,7001665.0,1798696.0,1197.0,2271.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,7.906.859,2.262.894,4.532,4.532,228.0,,7906859.0,2262894.0,4532.0,4532.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(905.194),(464.198),(3.335),(2.261),229.0,,-905194.0,-464198.0,-3335.0,-2261.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,5.480.035,3.811.051,-,-,240.0,,5480035.0,3811051.0,,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,14,5.480.035,3.811.051,-,-,242.0,14.0,5480035.0,3811051.0,,
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,8,9.144.883,8.745.176,14.515.337,12.322.338,250.0,8.0,9144883.0,8745176.0,14515337.0,12322338.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,-,-,6.526.105,3.389.914,251.0,,,,6526105.0,3389914.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,252,,9.124.149,8.601.126,7.989.232,8.932.424,252.0,,9124149.0,8601126.0,7989232.0,8932424.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,21.646,-,-,-,253.0,,21646.0,,,
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,254,,(912),-,-,-,254.0,,-912.0,,,
Đầu tư nắn giữ đến ngày đáo hạn,Đầu tư nắn giữ đến ngày đáo hạn,Đầu tư nắn giữ đến ngày đáo hạn,255,,-,144.050,-,-,255.0,,,144050.0,,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,3.085.036,2.279.437,3.795,42.288,260.0,,3085036.0,2279437.0,3795.0,42288.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,15,2.042.622,1.369.592,3.795,42.288,261.0,15.0,2042622.0,1369592.0,3795.0,42288.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,16,213.737,117.491,-,-,262.0,16.0,213737.0,117491.0,,
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,17,828.677,792.354,-,-,269.0,17.0,828677.0,792354.0,,
