row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm muaTriệu VND,Các điều chỉnh giá trị hợp lýTriệu VND,Giá trị ghi nhận tại thời điểm muaTriệu VND,numeric__Giá trị ghi số trước thời điểm muaTriệu VND,numeric__Các điều chỉnh giá trị hợp lýTriệu VND,numeric__Giá trị ghi nhận tại thời điểm muaTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,19.161,-,19.161,19161.0,,19161.0
Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,1.619,-,1.619,1619.0,,1619.0
Phải thu khác,Phải thu khác,Phải thu khác,486,-,486,486.0,,486.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,6.575,-,6.575,6575.0,,6575.0
Các khoản phải thu – dài hạn,Các khoản phải thu – dài hạn,Các khoản phải thu – dài hạn,1.359,-,1.359,1359.0,,1359.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,11.559,846,12.405,11559.0,846.0,12405.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,93,40.755,40.848,93.0,40755.0,40848.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,286,-,286,286.0,,286.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(7.762),-,(7.762),-7762.0,,-7762.0
Nợ thuế thu nhập hoãn lại,Nợ thuế thu nhập hoãn lại,Nợ thuế thu nhập hoãn lại,-,(6.445),(6.445),,-6445.0,-6445.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,33.376,35.156,68.532,33376.0,35156.0,68532.0
Tài sản thuần mua được,Tài sản thuần mua được,Tài sản thuần mua được,,,68.532,,,68532.0
Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17),,,131.468,,,131468.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,200.000,,,200000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(19.161),,,-19161.0
Tiền thuần chi ra,Tiền thuần chi ra,Tiền thuần chi ra,,,180.839,,,180839.0
