row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,2015Triệu VND,2014Triệu VND,2015Triệu VND,2014Triệu VND,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.811.051,20.042.933,-,10.021,3811051.0,20042933.0,,10021.0
Tăng từ hợp nhất kinh doanh(Thuyết minh 6),Tăng từ hợp nhất kinh doanh(Thuyết minh 6),Tăng từ hợp nhất kinh doanh(Thuyết minh 6),223.192,2.799,-,-,223192.0,2799.0,,
Tăng trong năm,Tăng trong năm,Tăng trong năm,3.825.674,3.356.972,-,1.093,3825674.0,3356972.0,,1093.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(2.118.246),(17.154.847),-,(4.313),-2118246.0,-17154847.0,,-4313.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(242.864),(67.048),-,-,-242864.0,-67048.0,,
Chuyển từ công cụ và dụng cụ,Chuyển từ công cụ và dụng cụ,Chuyển từ công cụ và dụng cụ,397,-,-,-,397.0,,,
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(449),(6.594),-,-,-449.0,-6594.0,,
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(17.874),(972.598),-,(63),-17874.0,-972598.0,,-63.0
Thanh lý,Thanh lý,Thanh lý,(825),(5.263),-,(4.521),-825.0,-5263.0,,-4521.0
Xóa số,Xóa số,Xóa số,(21),(2.217),-,(2.217),-21.0,-2217.0,,-2217.0
"Bồi thường chi phí tái định cư, chuyển sang khoản phải thu khác","Bồi thường chi phí tái định cư, chuyển sang khoản phải thu khác","Bồi thường chi phí tái định cư, chuyển sang khoản phải thu khác",-,(1.383.086),-,-,,-1383086.0,,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.480.035,3.811.051,-,-,5480035.0,3811051.0,,
