row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Tập đoàn_2,Tập đoàn_3,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Tập đoàn_2,numeric__Tập đoàn_3
,,,1/1/2015Triệu VND,Được ghi,Được ghi,Được ghi,,,,
,,,1/1/2015Triệu VND,Tăng từhợp nhấtkinh doanhTriệu VND(Thuyết minh 6),nhận vào báocáo kết quảhoạt độngkinh doanhTriệu VND,31/12/2015Triệu VND,,,,
Chiết khấu hàng bán phải trả,Chiết khấu hàng bán phải trả,Chiết khấu hàng bán phải trả,12.770,-,61.493,74.263,12770.0,,61493.0,74263.0
Chi phí khuyến mãi và quảng cáo phải trả,Chi phí khuyến mãi và quảng cáo phải trả,Chi phí khuyến mãi và quảng cáo phải trả,71.916,-,37.211,109.127,71916.0,,37211.0,109127.0
Chi phí vận chuyển phải trả,Chi phí vận chuyển phải trả,Chi phí vận chuyển phải trả,19.116,-,(10.764),8.352,19116.0,,-10764.0,8352.0
Khác,Khác,Khác,9.988,69.726,(62.915),16.799,9988.0,69726.0,-62915.0,16799.0
Lợi nhuận chưa thực hiện từ các giao dịch nội bộ,Lợi nhuận chưa thực hiện từ các giao dịch nội bộ,Lợi nhuận chưa thực hiện từ các giao dịch nội bộ,3.701,1.217,278,5.196,3701.0,1217.0,278.0,5196.0
Tải sản cố định hữu hình,Tải sản cố định hữu hình,Tải sản cố định hữu hình,(749.161),(45.079),34.556,(759.684),-749161.0,-45079.0,34556.0,-759684.0
Tải sản cố định vô hình,Tải sản cố định vô hình,Tải sản cố định vô hình,(183.626),(807.639),58.196,(933.069),-183626.0,-807639.0,58196.0,-933069.0
,,,(815.296),(781.775),118.055,(1.479.016),-815296.0,-781775.0,118055.0,-1479016.0
