row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,203.087.118.335,378.176.897.263,,(314.669.374.506),266.594.641.092,203087118335.0,378176897263.0,,-314669374506.0,266594641092.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,162.750.000.000,,193.750.000.000,(171.750.000.000),184.750.000.000,162750000000.0,,193750000000.0,-171750000000.0,184750000000.0
Cộng,Cộng,Cộng,365.837.118.335,378.176.897.263,193.750.000.000,(486.419.374.506),451.344.641.092,365837118335.0,378176897263.0,193750000000.0,-486419374506.0,451344641092.0
