row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,231.157.519.254,1.405.408.872.800,12.563.247.626,162.234.846.463,12.113.274.894,147.077.251.255,-,1.970.555.012.292,231157519254.0,1405408872800.0,12563247626.0,162234846463.0,12113274894.0,147077251255.0,,1970555012292.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,,,,,,,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,231.157.519.254,1.405.408.872.800,12.563.247.626,162.234.846.463,12.113.274.894,147.077.251.255,-,1.970.555.012.292,231157519254.0,1405408872800.0,12563247626.0,162234846463.0,12113274894.0,147077251255.0,,1970555012292.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,155.148.696.174,(6.468.666.855),(3.221.648.021),9.342.574.323,(18.745.581.754),18.291.105.538,-,154.346.479.405,155148696174.0,-6468666855.0,-3221648021.0,9342574323.0,-18745581754.0,18291105538.0,,154346479405.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,154.346.479.405,,,,,,,,154346479405.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,3.331.576.321,,,,,,,,3331576321.0
Chi phí tải chính,Chi phí tải chính,Chi phí tải chính,,,,,,,,,,,,,,,,
"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,
Thu nhập khác,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,,,,,4.571.612.144,,,,,,,,4571612144.0
Chi phí khác,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,,,,,(1.753.892.974),,,,,,,,-1753892974.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,,,,,,,,,,
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,(32.513.522.479),,,,,,,,-32513522479.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,,,,,
,,,,,,,,,,127.982.252.417,,,,,,,,127982252417.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,42.100.835.856,61.698.945,178.057,7.122.008,-,2.790.767.039,-,44.960.601.906,42100835856.0,61698945.0,178057.0,7122008.0,,2790767039.0,,44960601906.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,34.531.301.174,1.230.236.433,4.933.317.877,125.649.815,-,6.771.741.049,-,47.592.246.347,34531301174.0,1230236433.0,4933317877.0,125649815.0,,6771741049.0,,47592246347.0
Tổng giả trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giả trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giả trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),,,,,,,,,,,,,,,,
