row_label_raw,row_label_full,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore > Nhận chuyển nhượng quyền sử dụng đất tại Khu công nghiệp Việt Nam – Singapore II theo hợp đồng 01/HĐNT-VSIP/2013 > Nhận chuyển nhượng quyền sử dụng đất tại Khu công nghiệp Việt Nam – Singapore II theo hợp đồng HĐCN 2/7/2015,Năm nay > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore > 11.927.100.556 > 9.358.313.780,Năm trước > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore > 188.449.785.070 > 24.210.000.000,numeric__Năm nay > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore > 11.927.100.556 > 9.358.313.780,numeric__Năm trước > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore > 188.449.785.070 > 24.210.000.000
Nhận chuyển nhượng quyền sử dụng đất tại Khu dân cư Suối Tre,Nhận chuyển nhượng quyền sử dụng đất tại Khu dân cư Suối Tre,Nhận chuyển nhượng quyền sử dụng đất tại Khu dân cư Suối Tre,1.785.412.800,-,1785412800.0,
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,,
Nhận chuyển nhượng quyền sử dụng đất,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương > Nhận chuyển nhượng quyền sử dụng đất,Nhận chuyển nhượng quyền sử dụng đất,350.442.010.635,-,350442010635.0,
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,,
Thi công xây dựng nhà ở xã hội,Công ty Cổ phần Xây dựng và Giao thông Bình Dương > Thi công xây dựng nhà ở xã hội,Thi công xây dựng nhà ở xã hội,27.396.763.396,28.650.205.472,27396763396.0,28650205472.0
