row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,6.166.428.079.189,4.372.454.856.309,,300.0,,6166428079189.0,4372454856309.0
I.,I.,I.,Nợ ngắn hạn,310,,3.528.779.277.955,2.280.470.410.914,,310.0,,3528779277955.0,2280470410914.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.16a,2.173.371.465.467,1.098.434.402.376,,311.0,,2173371465467.0,1098434402376.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.17,8.887.140.004,8.884.855.245,,312.0,,8887140004.0,8884855245.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.18,J2.651.218.534,9.135.119.299,,313.0,,,9135119299.0
4.,4.,4.,Phải trả người lao động,314,V.19,6.286.280.583,5.452.670.296,,314.0,,6286280583.0,5452670296.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,V.20a,292.522.054.819,272.483.241.883,,315.0,,292522054819.0,272483241883.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318*,,-,-,,,,,
9.,8. > 9.,9.,Phải trả ngắn hạn khác,319,V.21a,576.791.024.595,514.816.743.852,,319.0,,576791024595.0,514816743852.0
10.,8. > 10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.22a,451.344.641.092,365.837.118.335,,320.0,,451344641092.0,365837118335.0
11.,8. > 11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,8. > 12.,12.,"Quỹ khen thưởng, phúc lợi",322,V.23,6.925.452.861,5.426.259.628,,322.0,,6925452861.0,5426259628.0
13.,8. > 13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,8. > 14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,8. > II.,II.,Nợ dài hạn,330,,2.637.648.801.234,2.091.984.445.395,,330.0,,2637648801234.0,2091984445395.0
1.,8. > 1.,1.,Phải trả người bán dài hạn,331,V.16b,1.270.092.505.000,403.982.110.500,,331.0,,1270092505000.0,403982110500.0
2.,8. > 2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,8. > 3.,3.,Chỉ phí phải trả dài hạn,333,V.20b,-,181.223.668.189,,333.0,,,181223668189.0
4.,8. > 4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,8. > 5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,8. > 6.,6.,Doanh thu chưa thực hiện dài hạn,336,V.24,8.117.899.759,8.418.353.180,,336.0,,8117899759.0,8418353180.0
7.,8. > 7.,7.,Phải trả dài hạn khác,337,V.21b,4.938.396.475,4.110.313.526,,337.0,,4938396475.0,4110313526.0
8.,8. > 8.,8.,Vay và nợ thuê tài chính dài hạn,338,V.22b,1.354.500.000.000,1.494.250.000.000,,338.0,,1354500000000.0,1494250000000.0
9.,8. > 9.,9.,Trái phiếu chuyển đổi,339,,-,,,339.0,,,
10.,8. > 10.,10.,Cổ phiếu ưu đãi,340,,-,,,340.0,,,
11.,8. > 11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,,,341.0,,,
12.,8. > 12.,12.,Dự phòng phải trả dài hạn,342,,-,,,342.0,,,
13.,8. > 13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,,,343.0,,,
