row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.741.945.250.000,10.420.226.000,83.110.272.981,230.779.522.090,3.066.255.271.071,2741945250000.0,10420226000.0,83110272981.0,230779522090.0,3066255271071.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,122.021.139.135,122.021.139.135,,,,122021139135.0,122021139135.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,2.561.755.226,(13.227.330.727),(10.665.575.501),,,2561755226.0,-13227330727.0,-10665575501.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(219.355.620.000),(219.355.620.000),,,,-219355620000.0,-219355620000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.741.945.250.000,10.420.226.000,85.672.028.207,120.217.710.498,2.958.255.214.705,2741945250000.0,10420226000.0,85672028207.0,120217710498.0,2958255214705.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.741.945.250.000,10.420.226.000,85.672.028.207,120.217.710.498,2.958.255.214.705,2741945250000.0,10420226000.0,85672028207.0,120217710498.0,2958255214705.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,127.982.252.417,127.982.252.417,,,,127982252417.0,127982252417.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,3.239.749.717,(11.537.807.628),(8.298.057.911),,,3239749717.0,-11537807628.0,-8298057911.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(109.677.810.000),(109.677.810.000),,,,-109677810000.0,-109677810000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.741.945.250.000,10.420.226.000,88.911.777.924,126.984.345.287,2.968.261.599.211,2741945250000.0,10420226000.0,88911777924.0,126984345287.0,2968261599211.0
