row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,,
Tải sản trực tiếp của bộ phận,Số cuối năm > Tải sản trực tiếp của bộ phận,Tải sản trực tiếp của bộ phận,551.656.260.438,7.603.169.757.988,172.838.983.914,107.089.589.384,483.162.809.705,50.124.704.142,,8.968.042.105.571,551656260438.0,7603169757988.0,172838983914.0,107089589384.0,483162809705.0,50124704142.0,,8968042105571.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,,166.647.572.829,,,,,,,,166647572829.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,,,9.134.689.678.400,,,,,,,,9134689678400.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,42.297.091.646,4.925.294.763.442,211.731.138.213,222.075.317.409,,9.448.594.502,,5.410.846.905.212,42297091646.0,4925294763442.0,211731138213.0,222075317409.0,,9448594502.0,,5410846905212.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,755.581.173.977,,,,,,,,755581173977.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,6.166.428.079.189,,,,,,,,6166428079189.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Tải sản trực tiếp của bộ phận,Số đầu năm > Tải sản trực tiếp của bộ phận,Tải sản trực tiếp của bộ phận,542.566.559.385,5.746.809.710.485,174.285.075.621,,499.948.062.076,125.007.590.496,,7.088.616.998.063,542566559385.0,5746809710485.0,174285075621.0,,499948062076.0,125007590496.0,,7088616998063.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,,242.093.072.951,,,,,,,,242093072951.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,,7.330.710.071.014,,,,,,,,7330710071014.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,41.200.000.000,3.288.105.877.041,207.525.030.357,,,154.476.287.341,,3.691.307.194.739,41200000000.0,3288105877041.0,207525030357.0,,,154476287341.0,,3691307194739.0
Nợ phải trả không phân bổ theo bộ phân,Số đầu năm > Nợ phải trả không phân bổ theo bộ phân,Nợ phải trả không phân bổ theo bộ phân,,,,,,,,681.147.661.570,,,,,,,,681147661570.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,4.372.454.856.309,,,,,,,,4372454856309.0
