row_label_raw,row_label_full,col_0,Chi phí nghiên cứu và triển khai,Phần mềm máy tính,Cộng,numeric__Chi phí nghiên cứu và triển khai,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,412.500.000,4.943.480.685,5.355.980.685,412500000.0,4943480685.0,5355980685.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,107.763.500,107.763.500,,107763500.0,107763500.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,412.500.000,5.051.244.185,5.463.744.185,412500000.0,5051244185.0,5463744185.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưngvăn còn sử dụng,Trong đó: > Đã khấu hao hết nhưngvăn còn sử dụng,Đã khấu hao hết nhưngvăn còn sử dụng,-,1.850.394.021,1.850.394.021,,1850394021.0,1850394021.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,61.875.000,2.788.284.163,2.850.159.163,61875000.0,2788284163.0,2850159163.0
Khẩu hao trong năm,Giá trị hao mòn > Khẩu hao trong năm,Khẩu hao trong năm,41.250.000,498.364.704,539.614.704,41250000.0,498364704.0,539614704.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,103.125.000,3.286.648.867,3.389.773.867,103125000.0,3286648867.0,3389773867.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,350.625.000,2.155.196.522,2.505.821.522,350625000.0,2155196522.0,2505821522.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,309.375.000,1.764.595.318,2.073.970.318,309375000.0,1764595318.0,2073970318.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,,,
