row_label_raw,row_label_full,col_0,% sở hữu và quyền biểu quyết,% sở hữu và quyền biểu quyết_1,numeric__% sở hữu và quyền biểu quyết,numeric__% sở hữu và quyền biểu quyết_1
,,,31/12/2016,1/1/2016,,
Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,100%,100%,1.0,1.0
Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,65%,65%,0.65,0.65
Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty TNHH Một thành viên Viconship Hồ Chí Minh,100%,100%,1.0,1.0
Công ty TNHH Tuyến T.S (*),Công ty TNHH Tuyến T.S (*),Công ty TNHH Tuyến T.S (*),-,100%,,1.0
Công ty TNHH Một thành viên Trung tâm Logistic Xanh,Công ty TNHH Một thành viên Trung tâm Logistic Xanh,Công ty TNHH Một thành viên Trung tâm Logistic Xanh,100%,100%,1.0,1.0
Công ty TNHH Một thành viên Bến Xanh,Công ty TNHH Một thành viên Bến Xanh,Công ty TNHH Một thành viên Bến Xanh,100%,100%,1.0,1.0
Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,Công ty Cổ phần Cảng Xanh VIP,74%,65%,0.74,0.65
